dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500000,4.000000,0.000020,0.001992,0.099611,4.980557,6.283183
0.020000,1.500058,4.000000,0.000100,0.005977,0.199222,4.980557,0.000005
0.020000,1.500237,4.000000,0.000279,0.011953,0.298833,4.980557,0.000020
0.020000,1.500556,4.000000,0.000598,0.019922,0.398445,4.980557,0.000048
0.020000,1.501054,4.000000,0.001096,0.029883,0.498056,4.980557,0.000091
0.020000,1.501771,4.000000,0.001813,0.041837,0.597667,4.980557,0.000152
0.020000,1.502747,4.000000,0.002789,0.055782,0.697278,4.980557,0.000236
0.020000,1.504022,4.000001,0.004064,0.071720,0.796889,4.980557,0.000346
0.020000,1.505636,4.000001,0.005678,0.089650,0.896500,4.980557,0.000484
0.020000,1.507628,4.000003,0.007670,0.109572,0.996111,4.980557,0.000655
0.020000,1.510039,4.000004,0.010081,0.131487,1.095723,4.980557,0.000862
0.020000,1.512908,4.000007,0.012949,0.155393,1.195334,4.980557,0.001107
0.020000,1.516275,4.000011,0.016316,0.181292,1.294945,4.980557,0.001395
0.020000,1.520179,4.000017,0.020221,0.209183,1.394556,4.980557,0.001728
0.020000,1.524662,4.000026,0.024704,0.239067,1.494167,4.980557,0.002110
0.020000,1.529762,4.000038,0.029804,0.270942,1.593778,4.980557,0.002543
0.020000,1.535519,4.000054,0.035561,0.304810,1.693390,4.980557,0.003031
0.020000,1.541974,4.000075,0.042016,0.340670,1.793001,4.980557,0.003577
0.020000,1.549166,4.000103,0.049208,0.378522,1.892612,4.980557,0.004183
0.020000,1.557135,4.000139,0.057177,0.418367,1.992223,4.980557,0.004851
0.020000,1.565920,4.000185,0.065963,0.460204,2.091834,4.980557,0.005586
0.020000,1.575563,4.000243,0.075605,0.504032,2.191445,4.980557,0.006388
0.020000,1.586101,4.000315,0.086144,0.549854,2.291056,4.980557,0.007261
0.020000,1.597576,4.000403,0.097619,0.597667,2.390668,4.980557,0.008206
0.020000,1.610027,4.000512,0.110070,0.647472,2.490279,4.980557,0.009226
0.020000,1.623494,4.000644,0.123538,0.699270,2.589890,4.980557,0.010322
0.020000,1.638016,4.000802,0.138061,0.753060,2.689501,4.980557,0.011496
0.020000,1.653634,4.000991,0.153680,0.808843,2.789112,4.980557,0.012748
0.020000,1.670387,4.001216,0.170435,0.866617,2.888723,4.980557,0.014081
0.020000,1.688315,4.001481,0.188365,0.926384,2.988334,4.980557,0.015495
0.020000,1.707438,4.001792,0.207490,0.986150,2.988334,0.000000,0.016988
0.020000,1.727755,4.002153,0.227811,1.045917,2.988334,0.000000,0.018559
0.020000,1.749267,4.002570,0.249327,1.105684,2.988334,0.000000,0.020203
0.020000,1.771974,4.003049,0.272038,1.165450,2.988334,-0.000000,0.021919
0.020000,1.795874,4.003594,0.295945,1.225217,2.988334,0.000000,0.023702
