dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.660000,3.750000,0.000020,0.001983,0.099162,4.958123,3.141580
0.020000,5.659954,3.750000,0.000099,0.005950,0.198325,4.958123,3.141610
0.020000,5.659776,3.750000,0.000278,0.011899,0.297487,4.958123,3.141676
0.020000,5.659458,3.750000,0.000595,0.019832,0.396650,4.958123,3.141794
0.020000,5.658962,3.750000,0.001091,0.029749,0.495812,4.958123,3.141978
0.020000,5.658248,3.749999,0.001805,0.041648,0.594975,4.958123,3.142243
0.020000,5.657277,3.749999,0.002777,0.055531,0.694137,4.958123,3.142604
0.020000,5.656007,3.749997,0.004046,0.071397,0.793300,4.958123,3.143076
0.020000,5.654401,3.749994,0.005652,0.089246,0.892462,4.958123,3.143672
0.020000,5.652418,3.749989,0.007636,0.109079,0.991625,4.958123,3.144409
0.020000,5.650018,3.749981,0.010035,0.130894,1.090787,4.958123,3.145301
0.020000,5.647162,3.749969,0.012891,0.154693,1.189950,4.958123,3.146362
0.020000,5.643810,3.749951,0.016243,0.180476,1.289112,4.958123,3.147607
0.020000,5.639923,3.749925,0.020130,0.208241,1.388275,4.958123,3.149052
0.020000,5.635461,3.749888,0.024592,0.237990,1.487437,4.958123,3.150710
0.020000,5.630384,3.749837,0.029669,0.269722,1.586599,4.958123,3.152598
0.020000,5.624653,3.749768,0.035401,0.303437,1.685762,4.958123,3.154728
0.020000,5.618228,3.749676,0.041827,0.339136,1.784924,4.958123,3.157118
0.020000,5.611070,3.749555,0.048986,0.376817,1.884087,4.958123,3.159780
0.020000,5.603138,3.749399,0.056919,0.416482,1.983249,4.958123,3.162730
0.020000,5.594394,3.749200,0.065665,0.458131,2.082412,4.958123,3.165982
0.020000,5.584799,3.748949,0.075264,0.501762,2.181574,4.958123,3.169552
0.020000,5.574312,3.748635,0.085756,0.547377,2.280737,4.958123,3.173453
0.020000,5.562895,3.748247,0.097179,0.594975,2.379899,4.958123,3.177701
0.020000,5.550509,3.747771,0.109575,0.644556,2.479062,4.958123,3.182308
0.020000,5.537115,3.747192,0.122981,0.696121,2.578224,4.958123,3.187289
0.020000,5.522674,3.746493,0.137439,0.749668,2.677387,4.958123,3.192658
0.020000,5.507148,3.745654,0.152988,0.805199,2.776549,4.958123,3.198428
0.020000,5.490499,3.744655,0.169667,0.862713,2.875712,4.958123,3.204611
0.020000,5.472689,3.743472,0.187516,0.922211,2.974874,4.958123,3.211220
0.020000,5.453700,3.742081,0.206555,0.981708,2.974874,0.000000,3.218258
0.020000,5.433537,3.740456,0.226785,1.041206,2.974874,-0.000000,3.225722
0.020000,5.412201,3.738572,0.248204,1.100703,2.974874,0.000000,3.233607
0.020000,5.389696,3.736401,0.270813,1.160201,2.974874,-0.000000,3.241906
0.020000,5.366027,3.733915,0.294612,1.219698,2.974874,0.000000,3.250614
0.020000,5.341200,3.731083,0.319601,1.279196,2.974874,0.000000,3.259722
0.020000,5.315218,3.727874,0.345780,1.338693,2.974874,0.000000,3.269220
0.020000,5.288090,3.724256,0.373148,1.398191,2.974874,0.000000,3.279098
0.020000,5.259821,3.720197,0.401707,1.457688,2.974874,-0.000000,3.289344
0.020000,5.230420,3.715661,0.431456,1.517186,2.974874,0.000000,3.299944
0.020000,5.199896,3.710615,0.462395,1.576683,2.974874,-0.000000,3.310884
0.020000,5.168258,3.705024,0.494523,1.636181,2.974874,0.000000,3.322144
