dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.750000,5.300005,0.000020,0.001970,0.098485,4.924242,1.570796
0.020000,7.750000,5.300083,0.000098,0.005909,0.196970,4.924242,1.570796
0.020000,7.750000,5.300261,0.000276,0.011818,0.295455,4.924242,1.570796
0.020000,7.750000,5.300576,0.000591,0.019697,0.393939,4.924242,1.570796
0.020000,7.750000,5.301068,0.001083,0.029545,0.492424,4.924242,1.570796
0.020000,7.750000,5.301777,0.001792,0.041364,0.590909,4.924242,1.570796
0.020000,7.750000,5.302743,0.002758,0.055152,0.689394,4.924242,1.570796
0.020000,7.750000,5.304003,0.004018,0.070909,0.787879,4.924242,1.570796
0.020000,7.750000,5.305599,0.005614,0.088636,0.886364,4.924242,1.570796
0.020000,7.750000,5.307568,0.007583,0.108333,0.984848,4.924242,1.570796
0.020000,7.750000,5.309952,0.009967,0.130000,1.083333,4.924242,1.570796
0.020000,7.750000,5.312788,0.012803,0.153636,1.181818,4.924242,1.570796
0.020000,7.750000,5.316117,0.016132,0.179242,1.280303,4.924242,1.570796
0.020000,7.750000,5.319977,0.019992,0.206818,1.378788,4.924242,1.570796
0.020000,7.750000,5.324409,0.024424,0.236364,1.477273,4.924242,1.570796
0.020000,7.750000,5.329452,0.029467,0.267879,1.575758,4.924242,1.570796
0.020000,7.750000,5.335144,0.035159,0.301364,1.674242,4.924242,1.570796
0.020000,7.750000,5.341526,0.041541,0.336818,1.772727,4.924242,1.570796
0.020000,7.750000,5.348637,0.048652,0.374242,1.871212,4.924242,1.570796
0.020000,7.750000,5.356515,0.056530,0.413636,1.969697,4.924242,1.570796
0.020000,7.750000,5.365202,0.065217,0.455000,2.068182,4.924242,1.570796
0.020000,7.750000,5.374735,0.074750,0.498333,2.166667,4.924242,1.570796
0.020000,7.750000,5.385155,0.085170,0.543636,2.265152,4.924242,1.570796
0.020000,7.750000,5.396500,0.096515,0.590909,2.363636,4.924242,1.570796
0.020000,7.750000,5.408811,0.108826,0.640152,2.462121,4.924242,1.570796
0.020000,7.750000,5.422126,0.122141,0.691364,2.560606,4.924242,1.570796
0.020000,7.750000,5.436485,0.136500,0.744545,2.659091,4.924242,1.570796
0.020000,7.750000,5.451927,0.151942,0.799697,2.757576,4.924242,1.570796
0.020000,7.750000,5.468493,0.168508,0.856818,2.856061,4.924242,1.570796
0.020000,7.750000,5.486220,0.186235,0.915909,2.954545,4.924242,1.570796
0.020000,7.750000,5.505129,0.205144,0.975000,2.954545,-0.000000,1.570796
0.020000,7.750000,5.525220,0.225235,1.034091,2.954545,0.000000,1.570796
0.020000,7.750000,5.546493,0.246508,1.093182,2.954545,-0.000000,1.570796
0.020000,7.750000,5.568947,0.268962,1.152273,2.954545,0.000000,1.570796
0.020000,7.750000,5.592583,0.292598,1.211364,2.954545,0.000000,1.570796
0.020000,7.750000,5.617402,0.317417,1.270455,2.954545,-0.000000,1.570796
0.020000,7.750000,5.643402,0.343417,1.329545,2.954545,0.000000,1.570796
0.020000,7.750000,5.670583,0.370598,1.388636,2.954545,-0.000000,1.570796
0.020000,7.750000,5.698947,0.398962,1.447727,2.954545,0.000000,1.570796
0.020000,7.750000,5.728493,0.428508,1.506818,2.954545,0.000000,1.570796
0.020000,7.750000,5.759220,0.459235,1.565909,2.954545,0.000000,1.570796
0.020000,7.750000,5.791129,0.491144,1.625000,2.954545,0.000000,1.570796
0.020000,7.750000,5.824220,0.524235,1.684091,2.954545,0.000000,1.570796
0.020000,7.750000,5.858493,0.558508,1.743182,2.954545,0.000000,1.570796
0.020000,7.750000,5.893947,0.593962,1.802273,2.954545,0.000000,1.570796
0.020000,7.750000,5.930583,0.630598,1.861364,2.954545,0.000000,1.570796
0.020000,7.750000,5.968402,0.668417,1.920455,2.954545,0.000000,1.570796
0.020000,7.750000,6.007402,0.707417,1.979545,2.954545,-0.000000,1.570796
0.020000,7.750000,6.047583,0.747598,2.038636,2.954545,-0.000000,1.570796
0.020000,7.750000,6.088947,0.788962,2.097727,2.954545,0.000000,1.570796
0.020000,7.750000,6.131493,0.831508,2.156818,2.954545,0.000000,1.570796
0.020000,7.750000,6.175220,0.875235,2.215909,2.954545,-0.000000,1.570796
0.020000,7.750000,6.220129,0.920144,2.275000,2.954545,0.000000,1.570796
0.020000,7.750000,6.266220,0.966235,2.334091,2.954545,0.000000,1.570796
0.020000,7.750000,6.313493,1.013508,2.393182,2.954545,-0.000000,1.570796
0.020000,7.750000,6.361927,1.061942,2.450303,2.856061,-4.924242,1.570796
0.020000,7.750000,6.411485,1.111500,2.505455,2.757576,-4.924242,1.570796
0.020000,7.750000,6.462126,1.162141,2.558636,2.659091,-4.924242,1.570796
0.020000,7.750000,6.513811,1.213826,2.609848,2.560606,-4.924242,1.570796
0.020000,7.750000,6.566500,1.266515,2.659091,2.462121,-4.924242,1.570796
0.020000,7.750000,6.620155,1.320170,2.706364,2.363636,-4.924242,1.570796
0.020000,7.750000,6.674735,1.374750,2.751667,2.265152,-4.924242,1.570796
0.020000,7.750000,6.730202,1.430217,2.795000,2.166667,-4.924242,1.570796
0.020000,7.750000,6.786515,1.486530,2.836364,2.068182,-4.924242,1.570796
0.020000,7.755490,6.843184,1.543652,2.875758,1.969697,-4.924242,1.342158
0.020000,7.773435,6.898161,1.601541,2.913182,1.871212,-4.924242,1.186071
