dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500000,3.000000,0.000020,0.001970,0.098485,4.924242,0.000004
0.020000,1.500061,3.000000,0.000098,0.005909,0.196970,4.924242,6.283173
0.020000,1.500238,3.000000,0.000276,0.011818,0.295455,4.924242,6.283137
0.020000,1.500553,3.000000,0.000591,0.019697,0.393939,4.924242,6.283074
0.020000,1.501045,3.000000,0.001083,0.029545,0.492424,4.924242,6.282975
0.020000,1.501755,3.000000,0.001792,0.041364,0.590909,4.924242,6.282832
0.020000,1.502720,2.999999,0.002758,0.055152,0.689394,4.924242,6.282638
0.020000,1.503980,2.999998,0.004018,0.070909,0.787879,4.924242,6.282384
0.020000,1.505576,2.999997,0.005614,0.088636,0.886364,4.924242,6.282063
0.020000,1.507545,2.999994,0.007583,0.108333,0.984848,4.924242,6.281667
0.020000,1.509929,2.999990,0.009967,0.130000,1.083333,4.924242,6.281188
0.020000,1.512765,2.999984,0.012803,0.153636,1.181818,4.924242,6.280617
0.020000,1.516094,2.999974,0.016132,0.179242,1.280303,4.924242,6.279948
0.020000,1.519955,2.999960,0.019992,0.206818,1.378788,4.924242,6.279172
0.020000,1.524386,2.999940,0.024424,0.236364,1.477273,4.924242,6.278281
0.020000,1.529429,2.999913,0.029467,0.267879,1.575758,4.924242,6.277269
0.020000,1.535121,2.999876,0.035159,0.301364,1.674242,4.924242,6.276126
0.020000,1.541503,2.999827,0.041541,0.336818,1.772727,4.924242,6.274845
0.020000,1.548613,2.999762,0.048652,0.374242,1.871212,4.924242,6.273419
0.020000,1.556491,2.999679,0.056530,0.413636,1.969697,4.924242,6.271839
0.020000,1.565177,2.999573,0.065217,0.455000,2.068182,4.924242,6.270099
0.020000,1.574709,2.999439,0.074750,0.498333,2.166667,4.924242,6.268191
0.020000,1.585128,2.999272,0.085170,0.543636,2.265152,4.924242,6.266107
0.020000,1.596471,2.999066,0.096515,0.590909,2.363636,4.924242,6.263840
0.020000,1.608779,2.998812,0.108826,0.640152,2.462121,4.924242,6.261383
0.020000,1.622091,2.998504,0.122141,0.691364,2.560606,4.924242,6.258729
0.020000,1.636445,2.998133,0.136500,0.744545,2.659091,4.924242,6.255870
0.020000,1.651881,2.997687,0.151942,0.799697,2.757576,4.924242,6.252801
0.020000,1.668438,2.997157,0.168508,0.856818,2.856061,4.924242,6.249513
0.020000,1.686154,2.996529,0.186235,0.915909,2.954545,4.924242,6.246002
0.020000,1.705049,2.995791,0.205144,0.975000,2.954545,-0.000000,6.242264
0.020000,1.725121,2.994929,0.225235,1.034091,2.954545,0.000000,6.238301
0.020000,1.746370,2.993930,0.246508,1.093182,2.954545,-0.000000,6.234115
0.020000,1.768795,2.992779,0.268962,1.152273,2.954545,0.000000,6.229709
0.020000,1.792395,2.991461,0.292598,1.211364,2.954545,0.000000,6.225085
0.020000,1.817168,2.989960,0.317417,1.270455,2.954545,-0.000000,6.220246
