dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000016,0.000000,0.000031,0.003095,0.154774,7.738679,0.000000
0.020000,0.000140,0.000000,0.000155,0.009286,0.309547,7.738679,0.000000
0.020000,0.000418,0.000000,0.000433,0.018573,0.464321,7.738679,0.000000
0.020000,0.000914,0.000000,0.000929,0.030955,0.619094,7.738679,0.000000
0.020000,0.001688,0.000000,0.001703,0.046432,0.773868,7.738679,0.000000
0.020000,0.002802,0.000000,0.002817,0.065005,0.928641,7.738679,0.000000
0.020000,0.004319,0.000000,0.004334,0.086673,1.083415,7.738679,0.000000
0.020000,0.006300,0.000000,0.006315,0.111437,1.238189,7.738679,0.000000
0.020000,0.008807,0.000000,0.008822,0.139296,1.392962,7.738679,0.000000
0.020000,0.011903,0.000000,0.011918,0.170251,1.547736,7.738679,0.000000
0.020000,0.015648,0.000000,0.015663,0.204301,1.702509,7.738679,0.000000
0.020000,0.020106,0.000000,0.020121,0.241447,1.857283,7.738679,0.000000
0.020000,0.025337,0.000000,0.025352,0.281688,2.012056,7.738679,0.000000
0.020000,0.031404,0.000000,0.031419,0.325024,2.166830,7.738679,0.000000
0.020000,0.038369,0.000000,0.038384,0.371457,2.321604,7.738679,0.000000
0.020000,0.046293,0.000000,0.046308,0.420984,2.476377,7.738679,0.000000
0.020000,0.055208,0.000000,0.055223,0.470512,2.476377,-0.000000,0.000000
0.020000,0.065114,0.000000,0.065129,0.520039,2.476377,0.000000,0.000000
0.020000,0.076010,0.000000,0.076025,0.569567,2.476377,-0.000000,0.000000
0.020000,0.087896,0.000000,0.087911,0.619094,2.476377,0.000000,0.000000
0.020000,0.100774,0.000000,0.100789,0.668622,2.476377,0.000000,0.000000
0.020000,0.114641,0.000000,0.114656,0.718149,2.476377,0.000000,0.000000
0.020000,0.129500,0.000000,0.129515,0.767677,2.476377,0.000000,0.000000
0.020000,0.145348,0.000000,0.145363,0.817204,2.476377,-0.000000,0.000000
0.020000,0.162188,0.000000,0.162203,0.866732,2.476377,0.000000,0.000000
0.020000,0.180018,0.000000,0.180033,0.916260,2.476377,0.000000,0.000000
0.020000,0.198838,0.000000,0.198853,0.965787,2.476377,0.000000,0.000000
0.020000,0.218649,0.000000,0.218664,1.015315,2.476377,-0.000000,0.000000
0.020000,0.239451,0.000000,0.239466,1.064842,2.476377,0.000000,0.000000
0.020000,0.261243,0.000000,0.261258,1.114370,2.476377,-0.000000,0.000000
0.020000,0.284025,0.000000,0.284040,1.163897,2.476377,0.000000,0.000000
0.020000,0.307799,0.000000,0.307814,1.213425,2.476377,-0.000000,0.000000
0.020000,0.332531,0.000000,0.332546,1.259857,2.321604,-7.738679,0.000000
0.020000,0.358162,0.000000,0.358177,1.303193,2.166830,-7.738679,0.000000
0.020000,0.384628,0.000000,0.384643,1.343435,2.012056,-7.738679,0.000000
0.020000,0.411868,0.000000,0.411883,1.380580,1.857283,-7.738679,0.000000
0.020000,0.439821,0.000000,0.439836,1.414630,1.702509,-7.738679,0.000000
0.020000,0.468423,0.000000,0.468438,1.445585,1.547736,-7.738679,0.000000
0.020000,0.497613,0.000000,0.497628,1.473444,1.392962,-7.738679,0.000000
0.020000,0.527330,0.000000,0.527345,1.498208,1.238189,-7.738679,0.000000
0.020000,0.557510,0.000000,0.557525,1.519876,1.083415,-7.738679,0.000000
0.020000,0.588094,0.000000,0.588109,1.538449,0.928641,-7.738679,0.000000
0.020000,0.619017,0.000000,0.619032,1.553927,0.773868,-7.738679,0.000000
0.020000,0.650220,0.000000,0.650235,1.566309,0.619094,-7.738679,0.000000
0.020000,0.681639,0.000000,0.681654,1.575595,0.464321,-7.738679,0.000000
0.020000,0.713213,0.000000,0.713228,1.581786,0.309547,-7.738679,0.000000
0.020000,0.744879,0.000000,0.744894,1.584881,0.154774,-7.738679,0.000000
0.020000,0.776556,0.000000,0.776571,1.582785,-0.104839,-12.980648,0.000000
0.020000,0.808160,0.000000,0.808175,1.577592,-0.259613,-7.738679,0.000000
0.020000,0.839629,0.000000,0.839644,1.569305,-0.414387,-7.738679,0.000000
0.020000,0.870901,0.000000,0.870916,1.557921,-0.569160,-7.738679,0.000000
0.020000,0.901915,0.000000,0.901930,1.543443,-0.723934,-7.738679,0.000000
0.020000,0.932608,0.000000,0.932623,1.525869,-0.878707,-7.738679,0.000000
0.020000,0.962918,0.000000,0.962933,1.505199,-1.033481,-7.738679,0.000000
0.020000,0.992785,0.000000,0.992800,1.481434,-1.188254,-7.738679,0.000000
0.020000,1.022145,0.000000,1.022160,1.454573,-1.343028,-7.738679,0.000000
0.020000,1.050937,0.000000,1.050952,1.424617,-1.497802,-7.738679,0.000000
0.020000,1.079098,0.000000,1.079113,1.391566,-1.652575,-7.738679,0.000000
0.020000,1.106568,0.000000,1.106583,1.355419,-1.807349,-7.738679,0.000000
0.020000,1.133284,0.000000,1.133299,1.316176,-1.962122,-7.738679,0.000000
0.020000,1.159184,0.000000,1.159199,1.273838,-2.116896,-7.738679,0.000000
0.020000,1.184207,0.000000,1.184222,1.228405,-2.271669,-7.738679,0.000000
0.020000,1.208290,0.000000,1.208305,1.179876,-2.426443,-7.738679,0.000000
0.020000,1.231392,0.000000,1.231407,1.130349,-2.476377,-2.496709,0.000000
0.020000,1.253504,0.000000,1.253519,1.080821,-2.476377,-0.000000,0.000000
0.020000,1.274625,0.000000,1.274640,1.031294,-2.476377,0.000000,0.000000
0.020000,1.294755,0.000000,1.294770,0.981766,-2.476377,-0.000000,0.000000
0.020000,1.313895,0.000000,1.313910,0.932238,-2.476377,0.000000,0.000000
0.020000,1.332045,0.000000,1.332060,0.882711,-2.476377,0.000000,0.000000
0.020000,1.349204,0.000000,1.349219,0.833183,-2.476377,0.000000,0.000000
0.020000,1.365372,0.000000,1.365387,0.783656,-2.476377,0.000000,0.000000
0.020000,1.380550,0.000000,1.380565,0.734128,-2.476377,-0.000000,0.000000
0.020000,1.394737,0.000000,1.394752,0.684601,-2.476377,0.000000,0.000000
0.020000,1.407934,0.000000,1.407949,0.635073,-2.476377,0.000000,0.000000
0.020000,1.420140,0.000000,1.420155,0.585546,-2.476377,0.000000,0.000000
