dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.660000,4.250000,0.000020,0.001987,0.099363,4.968167,3.141605
0.020000,5.659952,4.250000,0.000099,0.005962,0.198727,4.968167,3.141574
0.020000,5.659773,4.250000,0.000278,0.011924,0.298090,4.968167,3.141503
0.020000,5.659455,4.250000,0.000596,0.019873,0.397453,4.968167,3.141377
0.020000,5.658958,4.250000,0.001093,0.029809,0.496817,4.968167,3.141180
0.020000,5.658243,4.250001,0.001808,0.041733,0.596180,4.968167,3.140896
0.020000,5.657269,4.250001,0.002782,0.055643,0.695543,4.968167,3.140510
0.020000,5.655997,4.250003,0.004054,0.071542,0.794907,4.968167,3.140006
0.020000,5.654388,4.250006,0.005664,0.089427,0.894270,4.968167,3.139367
0.020000,5.652401,4.250011,0.007651,0.109300,0.993633,4.968167,3.138579
0.020000,5.649996,4.250020,0.010056,0.131160,1.092997,4.968167,3.137625
0.020000,5.647134,4.250033,0.012917,0.155007,1.192360,4.968167,3.136490
0.020000,5.643776,4.250052,0.016276,0.180841,1.291724,4.968167,3.135157
0.020000,5.639881,4.250080,0.020171,0.208663,1.391087,4.968167,3.133611
0.020000,5.635410,4.250120,0.024642,0.238472,1.490450,4.968167,3.131836
0.020000,5.630323,4.250175,0.029730,0.270268,1.589814,4.968167,3.129816
0.020000,5.624580,4.250249,0.035473,0.304052,1.689177,4.968167,3.127534
0.020000,5.618142,4.250348,0.041911,0.339823,1.788540,4.968167,3.124976
0.020000,5.610969,4.250477,0.049085,0.377581,1.887904,4.968167,3.122124
0.020000,5.603022,4.250644,0.057035,0.417326,1.987267,4.968167,3.118963
0.020000,5.594261,4.250858,0.065798,0.459059,2.086630,4.968167,3.115477
0.020000,5.584646,4.251128,0.075417,0.502779,2.185994,4.968167,3.111650
0.020000,5.574139,4.251464,0.085929,0.548486,2.285357,4.968167,3.107467
0.020000,5.562700,4.251881,0.097376,0.596180,2.384720,4.968167,3.102911
0.020000,5.550290,4.252392,0.109796,0.645862,2.484084,4.968167,3.097967
0.020000,5.536870,4.253014,0.123230,0.697531,2.583447,4.968167,3.092619
0.020000,5.522403,4.253765,0.137718,0.751187,2.682810,4.968167,3.086854
0.020000,5.506848,4.254665,0.153298,0.806830,2.782174,4.968167,3.080656
0.020000,5.490170,4.255738,0.170011,0.864461,2.881537,4.968167,3.074012
0.020000,5.472330,4.257010,0.187896,0.924079,2.980900,4.968167,3.066907
0.020000,5.453311,4.258505,0.206974,0.983697,2.980900,0.000000,3.059338
0.020000,5.433116,4.260252,0.227244,1.043315,2.980900,-0.000000,3.051308
0.020000,5.411750,4.262277,0.248706,1.102933,2.980900,0.000000,3.042822
0.020000,5.389215,4.264612,0.271361,1.162551,2.980900,-0.000000,3.033887
0.020000,5.365519,4.267287,0.295209,1.222169,2.980900,0.000000,3.024510
