dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.360000,3.750000,0.000020,0.001961,0.098039,4.901961,3.141580
0.020000,5.359950,3.750000,0.000098,0.005882,0.196078,4.901961,3.141615
0.020000,5.359774,3.750000,0.000275,0.011765,0.294118,4.901961,3.141694
0.020000,5.359460,3.750000,0.000588,0.019608,0.392157,4.901961,3.141835
0.020000,5.358970,3.750000,0.001078,0.029412,0.490196,4.901961,3.142056
0.020000,5.358264,3.749999,0.001784,0.041176,0.588235,4.901961,3.142374
0.020000,5.357303,3.749998,0.002745,0.054902,0.686275,4.901961,3.142806
0.020000,5.356048,3.749996,0.004000,0.070588,0.784314,4.901961,3.143373
0.020000,5.354460,3.749993,0.005588,0.088235,0.882353,4.901961,3.144091
0.020000,5.352499,3.749987,0.007549,0.107843,0.980392,4.901961,3.144980
0.020000,5.350127,3.749978,0.009922,0.129412,1.078431,4.901961,3.146058
0.020000,5.347303,3.749964,0.012745,0.152941,1.176471,4.901961,3.147347
0.020000,5.343990,3.749942,0.016059,0.178431,1.274510,4.901961,3.148865
0.020000,5.340147,3.749911,0.019902,0.205882,1.372549,4.901961,3.150634
0.020000,5.335735,3.749866,0.024314,0.235294,1.470588,4.901961,3.152677
0.020000,5.330716,3.749805,0.029333,0.266667,1.568627,4.901961,3.155016
0.020000,5.325050,3.749721,0.035000,0.300000,1.666667,4.901961,3.157676
0.020000,5.318717,3.749610,0.041333,0.333333,1.666667,0.000000,3.160674
0.020000,5.311719,3.749465,0.048333,0.366667,1.666667,0.000000,3.164017
0.020000,5.304055,3.749279,0.056000,0.400000,1.666667,0.000000,3.167717
0.020000,5.295725,3.749044,0.064333,0.433333,1.666667,-0.000000,3.171783
0.020000,5.286729,3.748752,0.073333,0.466667,1.666667,0.000000,3.176227
0.020000,5.277069,3.748394,0.083000,0.500000,1.666667,0.000000,3.181063
0.020000,5.266745,3.747960,0.093333,0.533333,1.666667,0.000000,3.186304
0.020000,5.255757,3.747437,0.104333,0.566667,1.666667,0.000000,3.191968
0.020000,5.244107,3.746814,0.116000,0.600000,1.666667,0.000000,3.198070
0.020000,5.231796,3.746077,0.128333,0.633333,1.666667,0.000000,3.204631
0.020000,5.218825,3.745213,0.141333,0.666667,1.666667,0.000000,3.211670
0.020000,5.205196,3.744205,0.155000,0.700000,1.666667,0.000000,3.219210
0.020000,5.190910,3.743036,0.169333,0.733333,1.666667,0.000000,3.227275
0.020000,5.175990,3.741690,0.184314,0.764706,1.568627,-4.901961,3.235880
0.020000,5.160478,3.740152,0.199902,0.794118,1.470588,-4.901961,3.245030
0.020000,5.144416,3.738406,0.216059,0.821569,1.372549,-4.901961,3.254727
0.020000,5.127846,3.736438,0.232745,0.847059,1.274510,-4.901961,3.264977
0.020000,5.110812,3.734232,0.249922,0.870588,1.176471,-4.901961,3.275782
0.020000,5.093357,3.731775,0.267549,0.892157,1.078431,-4.901961,3.287145
0.020000,5.075524,3.729053,0.285588,0.911765,0.980392,-4.901961,3.299067
0.020000,5.057359,3.726052,0.304000,0.929412,0.882353,-4.901961,3.311548
0.020000,5.038905,3.722762,0.322745,0.945098,0.784314,-4.901961,3.324586
0.020000,5.020208,3.719171,0.341784,0.958824,0.686275,-4.901961,3.338177
0.020000,5.001312,3.715269,0.361078,0.970588,0.588235,-4.901961,3.352314
0.020000,4.982264,3.711049,0.380588,0.980392,0.490196,-4.901961,3.366987
0.020000,4.963110,3.706504,0.400275,0.988235,0.392157,-4.901961,3.382184
0.020000,4.943895,3.701631,0.420098,0.994118,0.294118,-4.901961,3.397886
0.020000,4.924666,3.696425,0.440020,0.998039,0.196078,-4.901961,3.414074
0.020000,4.905468,3.690889,0.460000,1.000000,0.098039,-4.901961,3.430722
0.020000,4.886348,3.685024,0.480000,1.000000,0.000000,-4.901961,3.447799
0.020000,4.867332,3.678829,0.500000,1.000000,0.000000,0.000000,3.465287
0.020000,4.848428,3.672299,0.520000,1.000000,0.000000,0.000000,3.483183
0.020000,4.829646,3.665428,0.540000,1.000000,0.000000,0.000000,3.501480
0.020000,4.810993,3.658211,0.560000,1.000000,0.000000,0.000000,3.520170
0.020000,4.792481,3.650643,0.580000,1.000000,0.000000,0.000000,3.539242
0.020000,4.774118,3.642719,0.600000,1.000000,0.000000,0.000000,3.558683
0.020000,4.755913,3.634437,0.620000,1.000000,0.000000,0.000000,3.578476
0.020000,4.737878,3.625794,0.640000,1.000000,0.000000,0.000000,3.598603
0.020000,4.720022,3.616786,0.660000,1.000000,0.000000,0.000000,3.619042
0.020000,4.702355,3.607413,0.680000,1.000000,0.000000,0.000000,3.639768
0.020000,4.684887,3.597673,0.700000,1.000000,0.000000,0.000000,3.660753
0.020000,4.667629,3.587567,0.720000,1.000000,0.000000,0.000000,3.681967
0.020000,4.650590,3.577095,0.740000,1.000000,0.000000,0.000000,3.703377
0.020000,4.633780,3.566260,0.760000,1.000000,0.000000,0.000000,3.724949
0.020000,4.617208,3.555063,0.780000,1.000000,0.000000,0.000000,3.746646
0.020000,4.600884,3.543509,0.800000,1.000000,0.000000,0.000000,3.768428
0.020000,4.584815,3.531601,0.820000,1.000000,0.000000,0.000000,3.790255
0.020000,4.569010,3.519346,0.840000,1.000000,0.000000,0.000000,3.812087
0.020000,4.553477,3.506749,0.860000,1.000000,0.000000,0.000000,3.833882
0.020000,4.538221,3.493816,0.880000,1.000000,0.000000,0.000000,3.855598
0.020000,4.523249,3.480557,0.900000,1.000000,0.000000,0.000000,3.877195
0.020000,4.508566,3.466978,0.920000,1.000000,0.000000,0.000000,3.898631
0.020000,4.494175,3.453089,0.940000,1.000000,0.000000,0.000000,3.919868
0.020000,4.480082,3.438899,0.960000,1.000000,0.000000,0.000000,3.940868
0.020000,4.466287,3.424418,0.980000,1.000000,0.000000,0.000000,3.961595
0.020000,4.452793,3.409656,1.000000,1.000000,0.000000,0.000000,3.982017
0.020000,4.439601,3.394625,1.020000,1.000000,0.000000,0.000000,4.002102
0.020000,4.426711,3.379333,1.040000,1.000000,0.000000,0.000000,4.021822
0.020000,4.414122,3.363793,1.060000,1.000000,0.000000,0.000000,4.041152
0.020000,4.401832,3.348015,1.080000,1.000000,0.000000,0.000000,4.060069
0.020000,4.389840,3.332009,1.100000,1.000000,0.000000,0.000000,4.078554
0.020000,4.378142,3.315788,1.120000,1.000000,0.000000,0.000000,4.096589
0.020000,4.366734,3.299360,1.140000,1.000000,0.000000,0.000000,4.114161
0.020000,4.355613,3.282738,1.160000,1.000000,0.000000,0.000000,4.131257
0.020000,4.344774,3.265930,1.180000,1.000000,0.000000,0.000000,4.147870
0.020000,4.334211,3.248947,1.200000,1.000000,0.000000,0.000000,4.163993
0.020000,4.323919,3.231799,1.220000,1.000000,0.000000,0.000000,4.179621
0.020000,4.313892,3.214494,1.240000,1.000000,0.000000,0.000000,4.194751
0.020000,4.304124,3.197042,1.260000,1.000000,0.000000,0.000000,4.209384
0.020000,4.294607,3.179451,1.280000,1.000000,0.000000,0.000000,4.223520
0.020000,4.285336,3.161730,1.300000,1.000000,0.000000,0.000000,4.237162
0.020000,4.276303,3.143886,1.320000,1.000000,0.000000,0.000000,4.250314
0.020000,4.267501,3.125927,1.340000,1.000000,0.000000,0.000000,4.262980
0.020000,4.258923,3.107860,1.360000,1.000000,0.000000,0.000000,4.275166
0.020000,4.250562,3.089692,1.380000,1.000000,0.000000,0.000000,4.286879
0.020000,4.242410,3.071429,1.400000,1.000000,0.000000,0.000000,4.298125
0.020000,4.234459,3.053078,1.420000,1.000000,0.000000,0.000000,4.308913
0.020000,4.226702,3.034643,1.440000,1.000000,0.000000,0.000000,4.319250
0.020000,4.219133,3.016131,1.460000,1.000000,0.000000,0.000000,4.329144
0.020000,4.211743,2.997547,1.480000,1.000000,0.000000,0.000000,4.338605
0.020000,4.204525,2.978894,1.500000,1.000000,0.000000,0.000000,4.347640
0.020000,4.197472,2.960179,1.520000,1.000000,0.000000,0.000000,4.356258
0.020000,4.190576,2.941406,1.540000,1.000000,0.000000,0.000000,4.364467
0.020000,4.183832,2.922577,1.560000,1.000000,0.000000,0.000000,4.372276
0.020000,4.177230,2.903698,1.580000,1.000000,0.000000,0.000000,4.379693
0.020000,4.170765,2.884772,1.600000,1.000000,0.000000,0.000000,4.386725
0.020000,4.164430,2.865802,1.620000,1.000000,0.000000,0.000000,4.393382
0.020000,4.158218,2.846791,1.640000,1.000000,0.000000,0.000000,4.399669
0.020000,4.152122,2.827743,1.660000,1.000000,0.000000,0.000000,4.405595
0.020000,4.146136,2.808660,1.680000,1.000000,0.000000,0.000000,4.411167
0.020000,4.140253,2.789545,1.700000,1.000000,0.000000,0.000000,4.416390
0.020000,4.134466,2.770400,1.720000,1.000000,0.000000,0.000000,4.421272
0.020000,4.128770,2.751229,1.740000,1.000000,0.000000,0.000000,4.425817
0.020000,4.123157,2.732032,1.760000,1.000000,0.000000,0.000000,4.430032
0.020000,4.117623,2.712813,1.780000,1.000000,0.000000,0.000000,4.433922
0.020000,4.112160,2.693574,1.800000,1.000000,0.000000,0.000000,4.437492
0.020000,4.106763,2.674316,1.820000,1.000000,0.000000,0.000000,4.440746
0.020000,4.101425,2.655041,1.840000,1.000000,0.000000,0.000000,4.443688
0.020000,4.096142,2.635752,1.860000,1.000000,0.000000,0.000000,4.446322
0.020000,4.090906,2.616449,1.880000,1.000000,0.000000,0.000000,4.448651
0.020000,4.085712,2.597135,1.900000,1.000000,0.000000,0.000000,4.450678
0.020000,4.080555,2.577812,1.920000,1.000000,0.000000,0.000000,4.452406
0.020000,4.075428,2.558480,1.940000,1.000000,0.000000,0.000000,4.453837
0.020000,4.070326,2.539142,1.960000,1.000000,0.000000,0.000000,4.454972
0.020000,4.065242,2.519799,1.980000,1.000000,0.000000,0.000000,4.455814
0.020000,4.060173,2.500452,2.000000,1.000000,0.000000,0.000000,4.456363
0.020000,4.055111,2.481103,2.020000,1.000000,0.000000,0.000000,4.456620
0.020000,4.050051,2.461753,2.040000,1.000000,0.000000,0.000000,4.456586
0.020000,4.044988,2.442405,2.060000,1.000000,0.000000,0.000000,4.456259
0.020000,4.039916,2.423059,2.080000,1.000000,0.000000,0.000000,4.455641
0.020000,4.034829,2.403717,2.100000,1.000000,0.000000,0.000000,4.454729
