dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.359982,3.750000,0.000020,0.002000,0.100000,5.000000,3.141593
0.020000,5.359902,3.750000,0.000100,0.006000,0.200000,5.000000,3.141593
0.020000,5.359722,3.750000,0.000280,0.012000,0.300000,5.000000,3.141593
0.020000,5.359402,3.750000,0.000600,0.020000,0.400000,5.000000,3.141593
0.020000,5.358902,3.750000,0.001100,0.030000,0.500000,5.000000,3.141593
0.020000,5.358182,3.750000,0.001820,0.042000,0.600000,5.000000,3.141593
0.020000,5.357202,3.750000,0.002800,0.056000,0.700000,5.000000,3.141593
0.020000,5.355922,3.750000,0.004080,0.072000,0.800000,5.000000,3.141593
0.020000,5.354302,3.750000,0.005700,0.090000,0.900000,5.000000,3.141593
0.020000,5.352302,3.750000,0.007700,0.110000,1.000000,5.000000,3.141593
0.020000,5.349882,3.750000,0.010120,0.132000,1.100000,5.000000,3.141593
0.020000,5.347002,3.750000,0.013000,0.156000,1.200000,5.000000,3.141593
0.020000,5.343622,3.750000,0.016380,0.182000,1.300000,5.000000,3.141593
0.020000,5.339702,3.750000,0.020300,0.210000,1.400000,5.000000,3.141593
0.020000,5.335202,3.750000,0.024800,0.240000,1.500000,5.000000,3.141593
0.020000,5.330082,3.750000,0.029920,0.272000,1.600000,5.000000,3.141593
0.020000,5.324302,3.750000,0.035700,0.306000,1.700000,5.000000,3.141593
0.020000,5.317822,3.750000,0.042180,0.342000,1.800000,5.000000,3.141593
0.020000,5.310602,3.750000,0.049400,0.380000,1.900000,5.000000,3.141593
0.020000,5.302602,3.750000,0.057400,0.420000,2.000000,5.000000,3.141593
0.020000,5.293782,3.750000,0.066220,0.462000,2.100000,5.000000,3.141593
0.020000,5.284102,3.750000,0.075900,0.506000,2.200000,5.000000,3.141593
0.020000,5.273522,3.750000,0.086480,0.552000,2.300000,5.000000,3.141593
0.020000,5.262002,3.750000,0.098000,0.600000,2.400000,5.000000,3.141593
0.020000,5.249502,3.750000,0.110500,0.650000,2.500000,5.000000,3.141593
0.020000,5.235982,3.750000,0.124020,0.702000,2.600000,5.000000,3.141593
0.020000,5.221402,3.750000,0.138600,0.756000,2.700000,5.000000,3.141593
0.020000,5.205722,3.750000,0.154280,0.812000,2.800000,5.000000,3.141593
0.020000,5.188902,3.750000,0.171100,0.870000,2.900000,5.000000,3.141593
0.020000,5.170902,3.750000,0.189100,0.930000,3.000000,5.000000,3.141593
0.020000,5.151758,3.749984,0.208300,0.990000,3.000000,0.000000,3.145371
0.020000,5.131358,3.749811,0.228700,1.050000,3.000000,-0.000000,3.154839
0.020000,5.109762,3.749415,0.250300,1.110000,3.000000,0.000000,3.165045
0.020000,5.086972,3.748756,0.273100,1.170000,3.000000,0.000000,3.176022
0.020000,5.062991,3.747789,0.297100,1.230000,3.000000,0.000000,3.187805
0.020000,5.037826,3.746466,0.322300,1.290000,3.000000,0.000000,3.200431
0.020000,5.011483,3.744737,0.348700,1.350000,3.000000,0.000000,3.213938
0.020000,4.983971,3.742544,0.376300,1.410000,3.000000,-0.000000,3.228365
0.020000,4.955299,3.739828,0.405100,1.470000,3.000000,0.000000,3.243754
0.020000,4.925482,3.736525,0.435100,1.530000,3.000000,0.000000,3.260145
0.020000,4.894535,3.732566,0.466300,1.590000,3.000000,0.000000,3.277579
0.020000,4.862476,3.727878,0.498700,1.650000,3.000000,0.000000,3.296097
0.020000,4.829329,3.722383,0.532300,1.710000,3.000000,0.000000,3.315734
0.020000,4.795120,3.715998,0.567100,1.770000,3.000000,-0.000000,3.336526
0.020000,4.759881,3.708639,0.603100,1.830000,3.000000,0.000000,3.358499
0.020000,4.723649,3.700214,0.640300,1.890000,3.000000,0.000000,3.381676
0.020000,4.686465,3.690631,0.678700,1.950000,3.000000,0.000000,3.406067
0.020000,4.648378,3.679793,0.718300,2.010000,3.000000,0.000000,3.431673
0.020000,4.609443,3.667601,0.759100,2.070000,3.000000,-0.000000,3.458478
0.020000,4.569722,3.653959,0.801100,2.130000,3.000000,0.000000,3.486453
0.020000,4.529302,3.638773,0.844280,2.188000,2.900000,-5.000000,3.515532
0.020000,4.488294,3.621966,0.888600,2.244000,2.800000,-5.000000,3.545617
0.020000,4.446814,3.603467,0.934020,2.298000,2.700000,-5.000000,3.576584
0.020000,4.404980,3.583215,0.980500,2.350000,2.600000,-5.000000,3.608289
0.020000,4.362913,3.561162,1.028000,2.400000,2.500000,-5.000000,3.640566
0.020000,4.320731,3.537271,1.076480,2.448000,2.400000,-5.000000,3.673232
0.020000,4.278552,3.511520,1.125900,2.494000,2.300000,-5.000000,3.706089
0.020000,4.236490,3.483904,1.176220,2.538000,2.200000,-5.000000,3.738931
0.020000,4.194652,3.454430,1.227400,2.580000,2.100000,-5.000000,3.771550
0.020000,4.153136,3.423122,1.279400,2.620000,2.000000,-5.000000,3.803740
0.020000,4.112032,3.390016,1.332180,2.658000,1.900000,-5.000000,3.835303
0.020000,4.071418,3.355164,1.385700,2.694000,1.800000,-5.000000,3.866055
0.020000,4.031360,3.318627,1.439920,2.728000,1.700000,-5.000000,3.895832
0.020000,3.991913,3.280476,1.494800,2.760000,1.600000,-5.000000,3.924488
0.020000,3.953117,3.240790,1.550300,2.790000,1.500000,-5.000000,3.951900
0.020000,3.915002,3.199656,1.606380,2.818000,1.400000,-5.000000,3.977968
0.020000,3.877585,3.157163,1.663000,2.844000,1.300000,-5.000000,4.002615
0.020000,3.840874,3.113404,1.720120,2.868000,1.200000,-5.000000,4.025782
0.020000,3.804864,3.068475,1.777700,2.890000,1.100000,-5.000000,4.047431
0.020000,3.769544,3.022471,1.835700,2.910000,1.000000,-5.000000,4.067538
0.020000,3.734895,2.975487,1.894080,2.928000,0.900000,-5.000000,4.086094
0.020000,3.700889,2.927616,1.952800,2.944000,0.800000,-5.000000,4.103099
0.020000,3.667495,2.878953,2.011820,2.958000,0.700000,-5.000000,4.118564
0.020000,3.634675,2.829588,2.071100,2.970000,0.600000,-5.000000,4.132503
0.020000,3.602390,2.779609,2.130600,2.980000,0.500000,-5.000000,4.144939
0.020000,3.570596,2.729103,2.190280,2.988000,0.400000,-5.000000,4.155893
0.020000,3.539246,2.678157,2.250100,2.994000,0.300000,-5.000000,4.165390
0.020000,3.508293,2.626851,2.310020,2.998000,0.200000,-5.000000,4.173454
0.020000,3.477687,2.575267,2.370000,3.000000,0.100000,-5.000000,4.180108
0.020000,3.447379,2.523484,2.430000,3.000000,0.000000,-5.000000,4.185376
0.020000,3.417309,2.471563,2.490000,3.000000,0.000000,0.000000,4.189278
0.020000,3.387407,2.419546,2.550000,3.000000,0.000000,0.000000,4.191831
0.020000,3.357603,2.367472,2.610000,3.000000,0.000000,0.000000,4.193049
0.020000,3.327827,2.315381,2.670000,3.000000,0.000000,0.000000,4.192936
0.020000,3.298011,2.263314,2.730000,3.000000,0.000000,0.000000,4.191491
0.020000,3.268085,2.211310,2.790000,3.000000,0.000000,0.000000,4.188709
0.020000,3.237979,2.159410,2.850000,3.000000,0.000000,0.000000,4.184576
0.020000,3.207624,2.107655,2.910000,3.000000,0.000000,0.000000,4.179074
0.020000,3.176949,2.056089,2.970000,3.000000,0.000000,0.000000,4.172178
0.020000,3.145882,2.004759,3.030000,3.000000,0.000000,0.000000,4.163857
0.020000,3.114352,1.953711,3.090000,3.000000,0.000000,0.000000,4.154076
0.020000,3.082287,1.902998,3.150000,3.000000,0.000000,0.000000,4.142793
0.020000,3.049613,1.852676,3.210000,3.000000,0.000000,0.000000,4.129965
0.020000,3.016256,1.802803,3.270000,3.000000,0.000000,0.000000,4.115541
0.020000,2.982144,1.753445,3.330000,3.000000,0.000000,0.000000,4.099472
0.020000,2.947201,1.704671,3.390000,3.000000,0.000000,0.000000,4.081705
0.020000,2.911356,1.656556,3.450000,3.000000,0.000000,0.000000,4.062190
0.020000,2.874536,1.609183,3.510000,3.000000,0.000000,0.000000,4.040879
0.020000,2.836673,1.562641,3.570000,3.000000,0.000000,0.000000,4.017731
0.020000,2.797700,1.517024,3.630000,3.000000,0.000000,0.000000,3.992714
0.020000,2.757557,1.472433,3.690000,3.000000,0.000000,0.000000,3.965813
0.020000,2.716188,1.428978,3.750000,3.000000,0.000000,0.000000,3.937027
0.020000,2.673546,1.386772,3.810000,3.000000,0.000000,0.000000,3.906382
0.020000,2.629593,1.345932,3.870000,3.000000,0.000000,0.000000,3.873929
0.020000,2.584305,1.306579,3.930000,3.000000,0.000000,0.000000,3.839754
0.020000,2.537669,1.268835,3.990000,3.000000,0.000000,0.000000,3.803977
0.020000,2.489685,1.232819,4.050000,3.000000,0.000000,0.000000,3.766755
0.020000,2.440373,1.198645,4.110000,3.000000,0.000000,0.000000,3.728285
0.020000,2.389766,1.166419,4.170000,3.000000,0.000000,0.000000,3.688794
0.020000,2.337914,1.136238,4.230000,3.000000,0.000000,0.000000,3.648541
0.020000,2.284890,1.108186,4.289991,2.999100,-0.044982,-2.249118,3.607810
0.020000,2.230800,1.082339,4.349944,2.996201,-0.144982,-5.000000,3.566912
0.020000,2.175771,1.058753,4.409819,2.991301,-0.244982,-5.000000,3.526160
0.020000,2.119941,1.037459,4.469576,2.984401,-0.344982,-5.000000,3.485859
0.020000,2.063454,1.018463,4.529175,2.975502,-0.444982,-5.000000,3.446284
0.020000,2.006458,1.001745,4.588576,2.964602,-0.544982,-5.000000,3.407679
0.020000,1.949346,0.986373,4.647739,2.951702,-0.644982,-5.000000,3.405295
0.020000,1.892509,0.970979,4.706624,2.936803,-0.744982,-5.000000,3.406772
0.020000,1.835996,0.955604,4.765191,2.919903,-0.844982,-5.000000,3.407551
