dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.660000,4.900018,0.000020,0.002000,0.100000,5.000000,1.570796
0.020000,6.660000,4.900098,0.000100,0.006000,0.200000,5.000000,1.570796
0.020000,6.660000,4.900278,0.000280,0.012000,0.300000,5.000000,1.570796
0.020000,6.660000,4.900598,0.000600,0.020000,0.400000,5.000000,1.570796
0.020000,6.660000,4.901098,0.001100,0.030000,0.500000,5.000000,1.570796
0.020000,6.660000,4.901818,0.001820,0.042000,0.600000,5.000000,1.570796
0.020000,6.660000,4.902798,0.002800,0.056000,0.700000,5.000000,1.570796
0.020000,6.660000,4.904078,0.004080,0.072000,0.800000,5.000000,1.570796
0.020000,6.660000,4.905698,0.005700,0.090000,0.900000,5.000000,1.570796
0.020000,6.660000,4.907698,0.007700,0.110000,1.000000,5.000000,1.570796
0.020000,6.660000,4.910118,0.010120,0.132000,1.100000,5.000000,1.570796
0.020000,6.660000,4.912998,0.013000,0.156000,1.200000,5.000000,1.570796
0.020000,6.660000,4.916378,0.016380,0.182000,1.300000,5.000000,1.570796
0.020000,6.660000,4.920298,0.020300,0.210000,1.400000,5.000000,1.570796
0.020000,6.660000,4.924798,0.024800,0.240000,1.500000,5.000000,1.570796
0.020000,6.660000,4.929918,0.029920,0.272000,1.600000,5.000000,1.570796
0.020000,6.660000,4.935698,0.035700,0.306000,1.700000,5.000000,1.570796
0.020000,6.660000,4.942178,0.042180,0.342000,1.800000,5.000000,1.570796
0.020000,6.660000,4.949398,0.049400,0.380000,1.900000,5.000000,1.570796
0.020000,6.660000,4.957398,0.057400,0.420000,2.000000,5.000000,1.570796
0.020000,6.660000,4.966218,0.066220,0.462000,2.100000,5.000000,1.570796
0.020000,6.660000,4.975898,0.075900,0.506000,2.200000,5.000000,1.570796
0.020000,6.660000,4.986478,0.086480,0.552000,2.300000,5.000000,1.570796
0.020000,6.660000,4.997998,0.098000,0.600000,2.400000,5.000000,1.570796
0.020000,6.660000,5.010498,0.110500,0.650000,2.500000,5.000000,1.570796
0.020000,6.660000,5.024018,0.124020,0.702000,2.600000,5.000000,1.570796
0.020000,6.660000,5.038598,0.138600,0.756000,2.700000,5.000000,1.570796
0.020000,6.660000,5.054278,0.154280,0.812000,2.800000,5.000000,1.570796
0.020000,6.660000,5.071098,0.171100,0.870000,2.900000,5.000000,1.570796
0.020000,6.660000,5.089098,0.189100,0.930000,3.000000,5.000000,1.570796
0.020000,6.659981,5.108274,0.208300,0.990000,3.000000,0.000000,1.575510
0.020000,6.659763,5.128673,0.228700,1.050000,3.000000,-0.000000,1.587444
0.020000,6.659263,5.150267,0.250300,1.110000,3.000000,0.000000,1.600583
0.020000,6.658420,5.173051,0.273100,1.170000,3.000000,0.000000,1.615043
0.020000,6.657169,5.197018,0.297100,1.230000,3.000000,0.000000,1.630958
0.020000,6.655436,5.222158,0.322300,1.290000,3.000000,0.000000,1.648478
0.020000,6.653135,5.248457,0.348700,1.350000,3.000000,0.000000,1.667776
0.020000,6.650174,5.275897,0.376300,1.410000,3.000000,-0.000000,1.689047
0.020000,6.646444,5.304454,0.405100,1.470000,3.000000,0.000000,1.712513
0.020000,6.641826,5.334096,0.435100,1.530000,3.000000,0.000000,1.738422
0.020000,6.636186,5.364781,0.466300,1.590000,3.000000,0.000000,1.767051
0.020000,6.629371,5.396455,0.498700,1.650000,3.000000,0.000000,1.798704
0.020000,6.621215,5.429048,0.532300,1.710000,3.000000,0.000000,1.833708
0.020000,6.611530,5.462471,0.567100,1.770000,3.000000,-0.000000,1.872402
0.020000,6.600113,5.496609,0.603100,1.830000,3.000000,0.000000,1.915123
0.020000,6.586745,5.531321,0.640300,1.890000,3.000000,0.000000,1.962177
0.020000,6.571196,5.566427,0.678700,1.950000,3.000000,0.000000,2.013800
0.020000,6.553232,5.601712,0.718300,2.010000,3.000000,0.000000,2.070104
0.020000,6.532626,5.636919,0.759100,2.070000,3.000000,-0.000000,2.131012
0.020000,6.509171,5.671751,0.801100,2.130000,3.000000,0.000000,2.196193
0.020000,6.482713,5.705864,0.844280,2.188000,2.900000,-5.000000,2.264979
0.020000,6.453168,5.738888,0.888600,2.244000,2.800000,-5.000000,2.336348
0.020000,6.420531,5.770461,0.934020,2.298000,2.700000,-5.000000,2.409012
0.020000,6.384872,5.800259,0.980500,2.350000,2.600000,-5.000000,2.481532
0.020000,6.346340,5.828018,1.028000,2.400000,2.500000,-5.000000,2.552477
0.020000,6.305136,5.853545,1.076480,2.448000,2.400000,-5.000000,2.620580
0.020000,6.261502,5.876731,1.125900,2.494000,2.300000,-5.000000,2.684847
0.020000,6.215694,5.897539,1.176220,2.538000,2.200000,-5.000000,2.744609
0.020000,6.167966,5.915999,1.227400,2.580000,2.100000,-5.000000,2.799510
0.020000,6.118556,5.932188,1.279400,2.620000,2.000000,-5.000000,2.849452
0.020000,6.067681,5.946222,1.332180,2.658000,1.900000,-5.000000,2.894534
0.020000,6.015530,5.958236,1.385700,2.694000,1.800000,-5.000000,2.934978
0.020000,5.962270,5.968378,1.439920,2.728000,1.700000,-5.000000,2.971079
0.020000,5.908043,5.976802,1.494800,2.760000,1.600000,-5.000000,3.003161
0.020000,5.852970,5.983662,1.550300,2.790000,1.500000,-5.000000,3.031551
0.020000,5.797157,5.989107,1.606380,2.818000,1.400000,-5.000000,3.056561
0.020000,5.740692,5.993282,1.663000,2.844000,1.300000,-5.000000,3.078476
0.020000,5.683654,5.996327,1.720120,2.868000,1.200000,-5.000000,3.097553
0.020000,5.626111,5.998376,1.777700,2.890000,1.100000,-5.000000,3.114016
0.020000,5.568124,5.999556,1.835700,2.910000,1.000000,-5.000000,3.128058
0.020000,5.509746,5.999992,1.894080,2.928000,0.900000,-5.000000,3.139842
0.020000,5.451074,6.000773,1.952800,2.944000,0.800000,-5.000000,3.110075
0.020000,5.392131,6.003733,2.011820,2.958000,0.700000,-5.000000,3.072936
0.020000,5.333078,6.008874,2.071100,2.970000,0.600000,-5.000000,3.036793
0.020000,5.274026,6.016137,2.130600,2.980000,0.500000,-5.000000,3.001869
0.020000,5.215079,6.025445,2.190280,2.988000,0.400000,-5.000000,2.968352
0.020000,5.156331,6.036705,2.250100,2.994000,0.300000,-5.000000,2.936397
0.020000,5.097863,6.049809,2.310020,2.998000,0.200000,-5.000000,2.906122
0.020000,5.039748,6.064640,2.370000,3.000000,0.100000,-5.000000,2.877611
0.020000,4.982045,6.081076,2.430000,3.000000,0.000000,-5.000000,2.850914
0.020000,4.924785,6.098994,2.490000,3.000000,0.000000,0.000000,2.826050
0.020000,4.867969,6.118278,2.550000,3.000000,0.000000,0.000000,2.803007
0.020000,4.811595,6.138815,2.610000,3.000000,0.000000,0.000000,2.781759
0.020000,4.755650,6.160496,2.670000,3.000000,0.000000,0.000000,2.762271
0.020000,4.700119,6.183215,2.730000,3.000000,0.000000,0.000000,2.744501
0.020000,4.644980,6.206872,2.790000,3.000000,0.000000,0.000000,2.728402
0.020000,4.590209,6.231368,2.850000,3.000000,0.000000,0.000000,2.713926
0.020000,4.535778,6.256611,2.910000,3.000000,0.000000,0.000000,2.701026
0.020000,4.481657,6.282513,2.970000,3.000000,0.000000,0.000000,2.689656
0.020000,4.427814,6.308988,3.030000,3.000000,0.000000,0.000000,2.679772
0.020000,4.374216,6.335956,3.090000,3.000000,0.000000,0.000000,2.671337
0.020000,4.320828,6.363336,3.150000,3.000000,0.000000,0.000000,2.664316
0.020000,4.267614,6.391054,3.210000,3.000000,0.000000,0.000000,2.658679
0.020000,4.214539,6.419035,3.270000,3.000000,0.000000,0.000000,2.654402
0.020000,4.161564,6.447208,3.330000,3.000000,0.000000,0.000000,2.651466
0.020000,4.108653,6.475501,3.390000,3.000000,0.000000,0.000000,2.649858
0.020000,4.055770,6.503843,3.450000,3.000000,0.000000,0.000000,2.649573
0.020000,4.002875,6.532166,3.510000,3.000000,0.000000,0.000000,2.650607
0.020000,3.949933,6.560399,3.570000,3.000000,0.000000,0.000000,2.652966
0.020000,3.896906,6.588472,3.630000,3.000000,0.000000,0.000000,2.656660
0.020000,3.843756,6.616313,3.690000,3.000000,0.000000,0.000000,2.661705
0.020000,3.790448,6.643849,3.750000,3.000000,0.000000,0.000000,2.668123
0.020000,3.736945,6.671005,3.810000,3.000000,0.000000,0.000000,2.675942
0.020000,3.683213,6.697703,3.870000,3.000000,0.000000,0.000000,2.685193
0.020000,3.629217,6.723864,3.930000,3.000000,0.000000,0.000000,2.695914
0.020000,3.574924,6.749403,3.990000,3.000000,0.000000,0.000000,2.708146
0.020000,3.520304,6.774234,4.050000,3.000000,0.000000,0.000000,2.721933
0.020000,3.465327,6.798266,4.110000,3.000000,0.000000,0.000000,2.737323
0.020000,3.409969,6.821404,4.170000,3.000000,0.000000,0.000000,2.754363
0.020000,3.354206,6.843547,4.230000,3.000000,0.000000,0.000000,2.773101
