dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.660000,2.999982,0.000020,0.001961,0.098039,4.901961,4.712389
0.020000,6.660000,2.999904,0.000098,0.005882,0.196078,4.901961,4.712389
0.020000,6.660000,2.999727,0.000275,0.011765,0.294118,4.901961,4.712389
0.020000,6.660000,2.999414,0.000588,0.019608,0.392157,4.901961,4.712389
0.020000,6.660000,2.998924,0.001078,0.029412,0.490196,4.901961,4.712389
0.020000,6.660000,2.998218,0.001784,0.041176,0.588235,4.901961,4.712389
0.020000,6.660000,2.997257,0.002745,0.054902,0.686275,4.901961,4.712389
0.020000,6.660000,2.996002,0.004000,0.070588,0.784314,4.901961,4.712389
0.020000,6.660000,2.994414,0.005588,0.088235,0.882353,4.901961,4.712389
0.020000,6.660000,2.992453,0.007549,0.107843,0.980392,4.901961,4.712389
0.020000,6.660000,2.990080,0.009922,0.129412,1.078431,4.901961,4.712389
0.020000,6.660000,2.987257,0.012745,0.152941,1.176471,4.901961,4.712389
0.020000,6.660000,2.983943,0.016059,0.178431,1.274510,4.901961,4.712389
0.020000,6.660000,2.980100,0.019902,0.205882,1.372549,4.901961,4.712389
0.020000,6.660000,2.975688,0.024314,0.235294,1.470588,4.901961,4.712389
0.020000,6.660000,2.970669,0.029333,0.266667,1.568627,4.901961,4.712389
0.020000,6.660000,2.965002,0.035000,0.300000,1.666667,4.901961,4.712389
0.020000,6.660000,2.958669,0.041333,0.333333,1.666667,0.000000,4.712389
0.020000,6.660000,2.951669,0.048333,0.366667,1.666667,0.000000,4.712389
0.020000,6.660000,2.944002,0.056000,0.400000,1.666667,0.000000,4.712389
0.020000,6.660000,2.935669,0.064333,0.433333,1.666667,-0.000000,4.712389
0.020000,6.660000,2.926669,0.073333,0.466667,1.666667,0.000000,4.712389
0.020000,6.660000,2.917002,0.083000,0.500000,1.666667,0.000000,4.712389
0.020000,6.660000,2.906669,0.093333,0.533333,1.666667,0.000000,4.712389
0.020000,6.660000,2.895669,0.104333,0.566667,1.666667,0.000000,4.712389
0.020000,6.660000,2.884002,0.116000,0.600000,1.666667,0.000000,4.712389
0.020000,6.660000,2.871669,0.128333,0.633333,1.666667,0.000000,4.712389
0.020000,6.660000,2.858669,0.141333,0.666667,1.666667,0.000000,4.712389
0.020000,6.660000,2.845002,0.155000,0.700000,1.666667,0.000000,4.712389
0.020000,6.660000,2.830669,0.169333,0.733333,1.666667,0.000000,4.712389
0.020000,6.660000,2.815688,0.184314,0.764706,1.568627,-4.901961,4.712389
0.020000,6.660000,2.800100,0.199902,0.794118,1.470588,-4.901961,4.712389
0.020000,6.659837,2.783958,0.216059,0.821569,1.372549,-4.901961,4.691846
0.020000,6.659306,2.767281,0.232745,0.847059,1.274510,-4.901961,4.669022
0.020000,6.658348,2.750131,0.249922,0.870588,1.176471,-4.901961,4.643844
0.020000,6.656900,2.732564,0.267549,0.892157,1.078431,-4.901961,4.616075
0.020000,6.654894,2.714637,0.285588,0.911765,0.980392,-4.901961,4.585460
0.020000,6.652260,2.696416,0.304000,0.929412,0.882353,-4.901961,4.551736
0.020000,6.648923,2.677971,0.322745,0.945098,0.784314,-4.901961,4.514637
0.020000,6.644808,2.659383,0.341784,0.958824,0.686275,-4.901961,4.473916
0.020000,6.639840,2.640742,0.361078,0.970588,0.588235,-4.901961,4.429370
0.020000,6.633945,2.622146,0.380588,0.980392,0.490196,-4.901961,4.380874
0.020000,6.627058,2.603706,0.400275,0.988235,0.392157,-4.901961,4.328425
0.020000,6.619124,2.585542,0.420098,0.994118,0.294118,-4.901961,4.272194
0.020000,6.610107,2.567781,0.440020,0.998039,0.196078,-4.901961,4.212566
0.020000,6.599994,2.550553,0.460000,1.000000,0.098039,-4.901961,4.150176
0.020000,6.588798,2.533984,0.480000,1.000000,0.000000,-4.901961,4.085899
0.020000,6.576553,2.518175,0.500000,1.000000,0.000000,0.000000,4.020743
0.020000,6.563305,2.503197,0.520000,1.000000,0.000000,0.000000,3.955767
0.020000,6.549120,2.489103,0.540000,1.000000,0.000000,0.000000,3.892043
0.020000,6.534079,2.475926,0.560000,1.000000,0.000000,0.000000,3.830562
0.020000,6.518275,2.463673,0.580000,1.000000,0.000000,0.000000,3.772153
0.020000,6.501803,2.452334,0.600000,1.000000,0.000000,0.000000,3.717435
0.020000,6.484756,2.441879,0.620000,1.000000,0.000000,0.000000,3.666809
0.020000,6.467222,2.432261,0.640000,1.000000,0.000000,0.000000,3.620477
0.020000,6.449281,2.423428,0.660000,1.000000,0.000000,0.000000,3.578478
0.020000,6.431001,2.415315,0.680000,1.000000,0.000000,0.000000,3.540731
0.020000,6.412443,2.407861,0.700000,1.000000,0.000000,0.000000,3.507075
0.020000,6.393659,2.400998,0.720000,1.000000,0.000000,0.000000,3.477303
0.020000,6.374689,2.394662,0.740000,1.000000,0.000000,0.000000,3.451189
0.020000,6.355571,2.388790,0.760000,1.000000,0.000000,0.000000,3.428505
0.020000,6.336333,2.383322,0.780000,1.000000,0.000000,0.000000,3.409035
0.020000,6.317000,2.378201,0.800000,1.000000,0.000000,0.000000,3.392583
0.020000,6.297593,2.373370,0.820000,1.000000,0.000000,0.000000,3.378977
0.020000,6.278127,2.368777,0.840000,1.000000,0.000000,0.000000,3.368069
0.020000,6.258619,2.364371,0.860000,1.000000,0.000000,0.000000,3.359740
0.020000,6.239079,2.360104,0.880000,1.000000,0.000000,0.000000,3.353899
0.020000,6.219520,2.355927,0.900000,1.000000,0.000000,0.000000,3.350481
0.020000,6.199952,2.351794,0.920000,1.000000,0.000000,0.000000,3.349446
0.020000,6.180385,2.347657,0.940000,1.000000,0.000000,0.000000,3.350784
0.020000,6.160828,2.343471,0.960000,1.000000,0.000000,0.000000,3.354510
0.020000,6.141291,2.339189,0.980000,1.000000,0.000000,0.000000,3.360665
0.020000,6.121788,2.334762,1.000000,1.000000,0.000000,0.000000,3.369317
0.020000,6.102329,2.330142,1.020000,1.000000,0.000000,0.000000,3.380563
0.020000,6.082930,2.325277,1.040000,1.000000,0.000000,0.000000,3.394524
0.020000,6.063608,2.320114,1.060000,1.000000,0.000000,0.000000,3.411352
0.020000,6.044384,2.314598,1.080000,1.000000,0.000000,0.000000,3.431221
0.020000,6.025283,2.308670,1.100000,1.000000,0.000000,0.000000,3.454332
0.020000,6.006335,2.302271,1.120000,1.000000,0.000000,0.000000,3.480901
0.020000,5.987588,2.295434,1.140000,1.000000,0.000000,0.000000,3.497483
0.020000,5.968877,2.288370,1.160000,1.000000,0.000000,0.000000,3.507651
0.020000,5.950238,2.281118,1.180000,1.000000,0.000000,0.000000,3.517634
0.020000,5.931672,2.273682,1.200000,1.000000,0.000000,0.000000,3.527430
0.020000,5.913179,2.266066,1.220000,1.000000,0.000000,0.000000,3.537040
0.020000,5.894759,2.258275,1.240000,1.000000,0.000000,0.000000,3.546464
