dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000037,6.000000,0.000039,0.003949,0.197442,9.872109,6.283185
0.020000,1.000195,6.000000,0.000197,0.011847,0.394884,9.872109,6.283185
0.020000,1.000551,6.000000,0.000553,0.023693,0.592327,9.872109,6.283185
0.020000,1.001183,6.000000,0.001185,0.039488,0.789769,9.872109,6.283185
0.020000,1.002170,6.000000,0.002172,0.059233,0.987211,9.872109,6.283185
0.020000,1.003591,6.000000,0.003593,0.082926,1.184653,9.872109,6.283185
0.020000,1.005526,6.000000,0.005528,0.110568,1.382095,9.872109,6.283185
0.020000,1.008054,6.000000,0.008056,0.142158,1.579537,9.872109,6.283185
0.020000,1.011252,6.000000,0.011254,0.177698,1.776980,9.872109,6.283185
0.020000,1.015201,6.000000,0.015203,0.217186,1.974422,9.872109,6.283185
0.020000,1.019979,6.000000,0.019981,0.260624,2.171864,9.872109,6.283185
0.020000,1.025665,6.000000,0.025667,0.308010,2.369306,9.872109,6.283185
0.020000,1.032339,6.000000,0.032341,0.359345,2.566748,9.872109,6.283185
0.020000,1.040079,6.000000,0.040081,0.414629,2.764190,9.872109,6.283185
0.020000,1.048964,6.000000,0.048966,0.473861,2.961633,9.872109,0.000000
0.020000,1.059033,6.000000,0.059035,0.533094,2.961633,0.000000,0.000000
0.020000,1.070287,6.000000,0.070289,0.592327,2.961633,0.000000,0.000000
0.020000,1.082726,6.000000,0.082728,0.651559,2.961633,-0.000000,0.000000
0.020000,1.096350,6.000000,0.096352,0.710792,2.961633,0.000000,0.000000
0.020000,1.111158,6.000000,0.111160,0.770024,2.961633,0.000000,0.000000
0.020000,1.127151,6.000000,0.127153,0.829257,2.961633,-0.000000,0.000000
0.020000,1.144328,6.000000,0.144330,0.888490,2.961633,-0.000000,0.000000
0.020000,1.162690,6.000000,0.162692,0.947722,2.961633,0.000000,6.283185
0.020000,1.182237,6.000000,0.182239,1.006955,2.961633,0.000000,6.283185
0.020000,1.202926,6.000000,0.202971,1.066188,2.961633,0.000000,6.283185
0.020000,1.224842,6.000000,0.224887,1.125420,2.961633,0.000000,6.283185
0.020000,1.247942,6.000000,0.247987,1.184653,2.961633,0.000000,6.283185
0.020000,1.272228,6.000000,0.272273,1.243886,2.961633,0.000000,6.283185
0.020000,1.297698,6.000000,0.297743,1.303118,2.961633,-0.000000,6.283185
0.020000,1.324352,6.000000,0.324397,1.362351,2.961633,0.000000,6.283185
0.020000,1.352192,6.000000,0.352237,1.421584,2.961633,0.000000,6.283185
0.020000,1.381216,6.000000,0.381261,1.480816,2.961633,0.000000,6.283185
0.020000,1.411424,6.000000,0.411469,1.540049,2.961633,0.000000,6.283185
0.020000,1.442818,6.000000,0.442863,1.599282,2.961633,-0.000000,6.283185
0.020000,1.475396,6.000000,0.475441,1.658514,2.961633,0.000000,6.283185
0.020000,1.509158,6.000000,0.509203,1.717747,2.961633,0.000000,6.283185
0.020000,1.544106,6.000000,0.544151,1.776980,2.961633,-0.000000,6.283185
0.020000,1.580238,6.000000,0.580283,1.836212,2.961633,0.000000,6.283185
0.020000,1.617554,6.000000,0.617599,1.895445,2.961633,0.000000,6.283185
0.020000,1.656055,6.000000,0.656100,1.954678,2.961633,0.000000,6.283185
0.020000,1.695741,6.000000,0.695786,2.013910,2.961633,0.000000,6.283185
0.020000,1.736612,6.000000,0.736657,2.073143,2.961633,0.000000,6.283185
0.020000,1.778667,6.000000,0.778712,2.132376,2.961633,-0.000000,6.283185
0.020000,1.821907,6.000000,0.821952,2.191608,2.961633,0.000000,6.283185
0.020000,1.866331,6.000000,0.866376,2.250841,2.961633,-0.000000,6.283185
0.020000,1.911940,6.000000,0.911985,2.310073,2.961633,0.000000,6.283185
0.020000,1.958734,6.000000,0.958779,2.369306,2.961633,-0.000000,6.283185
0.020000,2.006713,6.000000,1.006758,2.428539,2.961633,0.000000,6.283185
0.020000,2.055876,6.000000,1.055921,2.487771,2.961633,-0.000000,6.283185
0.020000,2.106224,6.000000,1.106269,2.547004,2.961633,0.000000,6.283185
0.020000,2.157756,6.000000,1.157801,2.606237,2.961633,0.000000,6.283185
0.020000,2.210473,6.000000,1.210518,2.665469,2.961633,0.000000,6.283185
0.020000,2.264375,6.000000,1.264420,2.724702,2.961633,0.000000,6.283185
0.020000,2.319461,6.000000,1.319506,2.783935,2.961633,0.000000,6.283185
0.020000,2.375732,6.000000,1.375777,2.843167,2.961633,0.000000,6.283185
0.020000,2.433188,6.000000,1.433233,2.902400,2.961633,0.000000,6.283185
0.020000,2.491828,6.000000,1.491873,2.961633,2.961633,0.000000,6.283185
0.020000,2.551653,6.000000,1.551698,3.020865,2.961633,0.000000,6.283185
0.020000,2.612663,6.000000,1.612708,3.080098,2.961633,0.000000,6.283185
0.020000,2.674857,6.000000,1.674902,3.139331,2.961633,-0.000000,0.000000
0.020000,2.738236,6.000000,1.738281,3.198563,2.961633,0.000000,0.000000
0.020000,2.802800,6.000000,1.802845,3.257796,2.961633,0.000000,0.000000
0.020000,2.868548,6.000000,1.868593,3.317029,2.961633,0.000000,0.000000
0.020000,2.935481,6.000000,1.935526,3.376261,2.961633,0.000000,0.000000
0.020000,3.003598,6.000000,2.003643,3.435494,2.961633,0.000000,0.000000
0.020000,3.072900,6.000000,2.072945,3.494727,2.961633,0.000000,0.000000
0.020000,3.143387,6.000000,2.143432,3.553959,2.961633,-0.000000,0.000000
0.020000,3.215059,6.000000,2.215104,3.613192,2.961633,0.000000,0.000000
0.020000,3.287875,6.000000,2.287920,3.668476,2.764190,-9.872109,0.000000
0.020000,3.361758,6.000000,2.361803,3.719811,2.566748,-9.872109,0.000000
0.020000,3.436628,6.000000,2.436673,3.767197,2.369306,-9.872109,0.000000
0.020000,3.512407,6.000000,2.512452,3.810634,2.171864,-9.872109,0.000000
0.020000,3.589014,6.000000,2.589059,3.850122,1.974422,-9.872109,0.000000
0.020000,3.666372,6.000000,2.666417,3.885662,1.776980,-9.872109,0.000000
0.020000,3.744401,6.000000,2.744446,3.917253,1.579537,-9.872109,0.000000
0.020000,3.823023,6.000000,2.823068,3.944895,1.382095,-9.872109,0.000000
0.020000,3.902158,6.000000,2.902203,3.968588,1.184653,-9.872109,0.000000
0.020000,3.981727,6.000000,2.981772,3.988332,0.987211,-9.872109,0.000000
0.020000,4.061651,6.000000,3.061696,4.004127,0.789769,-9.872109,0.000000
0.020000,4.141852,6.000000,3.141897,4.015974,0.592327,-9.872109,0.000000
0.020000,4.222251,6.000000,3.222296,4.023872,0.394884,-9.872109,0.000000
0.020000,4.302768,6.000000,3.302813,4.027820,0.197442,-9.872109,0.000000
0.020000,4.383290,6.000000,3.383335,4.024386,-0.171708,-18.457485,0.000000
0.020000,4.463704,6.000000,3.463749,4.017003,-0.369150,-9.872109,0.000000
0.020000,4.543930,6.000000,3.543975,4.005671,-0.566592,-9.872109,0.000000
0.020000,4.623891,6.000000,3.623936,3.990391,-0.764034,-9.872109,0.000000
0.020000,4.703507,6.000000,3.703552,3.971161,-0.961476,-9.872109,0.000000
0.020000,4.782698,6.000000,3.782743,3.947983,-1.158918,-9.872109,0.000000
0.020000,4.861386,6.000000,3.861431,3.920856,-1.356361,-9.872109,0.000000
0.020000,4.939493,6.000000,3.939538,3.889780,-1.553803,-9.872109,0.000000
0.020000,5.016938,6.000000,4.016983,3.854755,-1.751245,-9.872109,0.000000
0.020000,5.093643,6.000000,4.093688,3.815781,-1.948687,-9.872109,0.000000
0.020000,5.169530,6.000000,4.169575,3.772858,-2.146129,-9.872109,0.000000
0.020000,5.244518,6.000000,4.244563,3.725987,-2.343571,-9.872109,0.000000
0.020000,5.318530,6.000000,4.318575,3.675167,-2.541014,-9.872109,0.000000
0.020000,5.391485,6.000000,4.391530,3.620398,-2.738456,-9.872109,0.000000
0.020000,5.463306,6.000000,4.463351,3.561680,-2.935898,-9.872109,0.000000
0.020000,5.533922,5.999741,4.533993,3.502447,-2.961633,-1.286732,6.267803
0.020000,5.603340,5.997520,4.603449,3.443214,-2.961633,0.000000,6.234071
0.020000,5.671455,5.992948,4.671721,3.383982,-2.961633,0.000000,6.197688
0.020000,5.738170,5.985929,4.738808,3.324749,-2.961633,0.000000,6.158452
0.020000,5.803371,5.976372,4.804711,3.265516,-2.961633,0.000000,6.116178
0.020000,5.866926,5.964189,4.869429,3.206284,-2.961633,0.000000,6.070713
0.020000,5.928685,5.949304,4.932962,3.147051,-2.961633,0.000000,6.021955
0.020000,5.988478,5.931662,4.995311,3.087818,-2.961633,0.000000,5.969886
0.020000,6.046121,5.911233,5.056475,3.028586,-2.961633,0.000000,5.914591
0.020000,6.101418,5.888022,5.116455,2.969353,-2.961633,0.000000,5.856294
0.020000,6.154170,5.862080,5.175249,2.910120,-2.961633,0.000000,5.795376
0.020000,6.204184,5.833507,5.232859,2.850888,-2.961633,-0.000000,5.732379
0.020000,6.251287,5.802458,5.289285,2.791655,-2.961633,0.000000,5.667995
0.020000,6.295337,5.769141,5.344526,2.732422,-2.961633,-0.000000,5.603029
0.020000,6.336238,5.733811,5.398582,2.673190,-2.961633,0.000000,5.538339
0.020000,6.373944,5.696761,5.451453,2.613957,-2.961633,-0.000000,5.474767
0.020000,6.408463,5.658302,5.503140,2.554724,-2.961633,0.000000,5.413077
0.020000,6.439858,5.618753,5.553642,2.495492,-2.961633,-0.000000,5.353900
0.020000,6.468239,5.578428,5.602960,2.436259,-2.961633,0.000000,5.297709
0.020000,6.493750,5.537619,5.651092,2.377027,-2.961633,-0.000000,5.244812
0.020000,6.516565,5.496592,5.698041,2.317794,-2.961633,0.000000,5.195365
0.020000,6.536872,5.455585,5.743804,2.258561,-2.961633,-0.000000,5.149399
0.020000,6.554866,5.414804,5.788383,2.199329,-2.961633,0.000000,5.106847
0.020000,6.570745,5.374422,5.831777,2.140096,-2.961633,-0.000000,5.067573
0.020000,6.584699,5.334588,5.873987,2.080863,-2.961633,0.000000,5.031397
0.020000,6.596908,5.295424,5.915012,2.021631,-2.961633,0.000000,4.998116
0.020000,6.607546,5.257031,5.954852,1.962398,-2.961633,0.000000,4.967517
0.020000,6.616769,5.219494,5.993508,1.903165,-2.961633,0.000000,4.939389
0.020000,6.624725,5.182878,6.030979,1.843933,-2.961633,0.000000,4.913527
0.020000,6.631547,5.147240,6.067265,1.784700,-2.961633,0.000000,4.889737
0.020000,6.637358,5.112623,6.102367,1.725467,-2.961633,0.000000,4.867843
0.020000,6.642269,5.079064,6.136284,1.666235,-2.961633,-0.000000,4.847680
0.020000,6.646380,5.046591,6.169016,1.607002,-2.961633,0.000000,4.829098
0.020000,6.649783,5.015228,6.200564,1.547769,-2.961633,0.000000,4.811963
0.020000,6.652561,4.984993,6.230927,1.488537,-2.961633,-0.000000,4.796154
0.020000,6.654788,4.955900,6.260105,1.429304,-2.961633,0.000000,4.781562
0.020000,6.656534,4.927961,6.288099,1.370071,-2.961633,0.000000,4.768088
0.020000,6.657859,4.901184,6.314908,1.310839,-2.961633,0.000000,4.755645
0.020000,6.658819,4.875578,6.340533,1.251606,-2.961633,0.000000,4.744154
0.020000,6.659465,4.851147,6.364972,1.192373,-2.961633,-0.000000,4.733545
0.020000,6.659842,4.827895,6.388228,1.133141,-2.961633,0.000000,4.723756
0.020000,6.659993,4.805825,6.410298,1.073908,-2.961633,0.000000,4.714730
0.020000,6.660000,4.784941,6.431184,1.014675,-2.961633,0.000000,4.712389
0.020000,6.660000,4.765240,6.450885,0.955443,-2.961633,0.000000,4.712389
0.020000,6.660000,4.746724,6.469402,0.896210,-2.961633,0.000000,4.712389
