dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.200009,1.749991,0.000020,0.002000,0.100000,5.000000,5.497773
0.020000,1.200066,1.749934,0.000100,0.006000,0.200000,5.000000,5.497687
0.020000,1.200193,1.749807,0.000280,0.012000,0.300000,5.000000,5.497493
0.020000,1.200419,1.749581,0.000600,0.020000,0.400000,5.000000,5.497148
0.020000,1.200772,1.749227,0.001100,0.030000,0.500000,5.000000,5.496610
0.020000,1.201281,1.748717,0.001820,0.042000,0.600000,5.000000,5.495836
0.020000,1.201972,1.748022,0.002800,0.056000,0.700000,5.000000,5.494786
0.020000,1.202874,1.747114,0.004080,0.072000,0.800000,5.000000,5.493418
0.020000,1.204013,1.745962,0.005700,0.090000,0.900000,5.000000,5.491694
0.020000,1.205417,1.744538,0.007700,0.110000,1.000000,5.000000,5.489577
0.020000,1.207112,1.742811,0.010120,0.132000,1.100000,5.000000,5.487031
0.020000,1.209123,1.740749,0.013000,0.156000,1.200000,5.000000,5.484025
0.020000,1.211476,1.738323,0.016380,0.182000,1.300000,5.000000,5.480531
0.020000,1.214194,1.735498,0.020300,0.210000,1.400000,5.000000,5.476523
0.020000,1.217300,1.732242,0.024800,0.240000,1.500000,5.000000,5.471981
0.020000,1.220817,1.728520,0.029920,0.272000,1.600000,5.000000,5.466892
0.020000,1.224763,1.724298,0.035700,0.306000,1.700000,5.000000,5.461248
0.020000,1.229160,1.719538,0.042180,0.342000,1.800000,5.000000,5.455049
0.020000,1.234025,1.714202,0.049400,0.380000,1.900000,5.000000,5.448302
0.020000,1.239373,1.708253,0.057400,0.420000,2.000000,5.000000,5.441028
0.020000,1.245220,1.701650,0.066220,0.462000,2.100000,5.000000,5.433254
0.020000,1.251579,1.694351,0.075900,0.506000,2.200000,5.000000,5.425022
0.020000,1.258462,1.686316,0.086480,0.552000,2.300000,5.000000,5.416386
0.020000,1.265878,1.677501,0.098000,0.600000,2.400000,5.000000,5.407416
0.020000,1.273839,1.667864,0.110500,0.650000,2.500000,5.000000,5.398196
0.020000,1.282351,1.657360,0.124020,0.702000,2.600000,5.000000,5.388827
0.020000,1.291424,1.645947,0.138600,0.756000,2.700000,5.000000,5.379430
0.020000,1.301067,1.633583,0.154280,0.812000,2.800000,5.000000,5.370144
0.020000,1.311288,1.620225,0.171100,0.870000,2.900000,5.000000,5.361127
0.020000,1.322101,1.605834,0.189100,0.930000,3.000000,5.000000,5.352560
0.020000,1.333507,1.590389,0.208300,0.990000,3.000000,0.000000,5.344654
0.020000,1.345503,1.573889,0.228700,1.050000,3.000000,-0.000000,5.337642
0.020000,1.358092,1.556337,0.250300,1.110000,3.000000,0.000000,5.331772
0.020000,1.371284,1.537741,0.273100,1.170000,3.000000,0.000000,5.327305
0.020000,1.385098,1.518116,0.297100,1.230000,3.000000,0.000000,5.324516
0.020000,1.399566,1.497483,0.322300,1.290000,3.000000,0.000000,5.323696
0.020000,1.414730,1.475872,0.348700,1.350000,3.000000,0.000000,5.325150
0.020000,1.430644,1.453322,0.376300,1.410000,3.000000,-0.000000,5.329206
0.020000,1.447380,1.429884,0.405100,1.470000,3.000000,0.000000,5.336209
0.020000,1.465023,1.405621,0.435100,1.530000,3.000000,0.000000,5.346525
0.020000,1.483677,1.380612,0.466300,1.590000,3.000000,0.000000,5.360538
0.020000,1.503462,1.354955,0.498700,1.650000,3.000000,0.000000,5.378649
0.020000,1.524517,1.328771,0.532300,1.710000,3.000000,0.000000,5.401259
0.020000,1.546996,1.302206,0.567100,1.770000,3.000000,-0.000000,5.428754
0.020000,1.571065,1.275438,0.603100,1.830000,3.000000,0.000000,5.461474
0.020000,1.596902,1.248677,0.640300,1.890000,3.000000,0.000000,5.499670
0.020000,1.624681,1.222169,0.678700,1.950000,3.000000,0.000000,5.543444
0.020000,1.654504,1.196228,0.718300,2.010000,3.000000,0.000000,5.586847
0.020000,1.685970,1.170256,0.759100,2.070000,3.000000,-0.000000,5.599559
0.020000,1.718710,1.143949,0.801100,2.130000,3.000000,0.000000,5.613131
0.020000,1.752746,1.117378,0.844280,2.188000,2.900000,-5.000000,5.627620
0.020000,1.788085,1.090631,0.888600,2.244000,2.800000,-5.000000,5.643080
0.020000,1.824733,1.063802,0.934020,2.298000,2.700000,-5.000000,5.659570
0.020000,1.862700,1.036990,0.980500,2.350000,2.600000,-5.000000,5.677149
0.020000,1.901990,1.010298,1.028000,2.400000,2.500000,-5.000000,5.695882
