dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000038,7.370000,0.000040,0.003965,0.198256,9.912803,6.283185
0.020000,0.000196,7.370000,0.000198,0.011895,0.396512,9.912803,6.283185
0.020000,0.000553,7.370000,0.000555,0.023791,0.594768,9.912803,6.283185
0.020000,0.001188,7.370000,0.001190,0.039651,0.793024,9.912803,6.283185
0.020000,0.002179,7.370000,0.002181,0.059477,0.991280,9.912803,6.283185
0.020000,0.003606,7.370000,0.003608,0.083268,1.189536,9.912803,6.283185
0.020000,0.005549,7.370000,0.005551,0.111023,1.387792,9.912803,6.283185
0.020000,0.008087,7.370000,0.008089,0.142744,1.586049,9.912803,6.283185
0.020000,0.011299,7.370000,0.011301,0.178430,1.784305,9.912803,6.283185
0.020000,0.015264,7.370000,0.015266,0.218082,1.982561,9.912803,6.283185
0.020000,0.020062,7.370000,0.020064,0.261698,2.180817,9.912803,6.283185
0.020000,0.025771,7.370000,0.025773,0.309279,2.379073,9.912803,6.283185
0.020000,0.032472,7.370000,0.032474,0.360826,2.577329,9.912803,6.283185
0.020000,0.040244,7.370000,0.040246,0.416338,2.775585,9.912803,6.283185
0.020000,0.049166,7.370000,0.049168,0.475815,2.973841,9.912803,0.000000
0.020000,0.059277,7.370000,0.059279,0.535291,2.973841,-0.000000,0.000000
0.020000,0.070577,7.370000,0.070579,0.594768,2.973841,0.000000,0.000000
0.020000,0.083067,7.370000,0.083069,0.654245,2.973841,-0.000000,0.000000
0.020000,0.096747,7.370000,0.096749,0.713722,2.973841,0.000000,0.000000
0.020000,0.111616,7.370000,0.111618,0.773199,2.973841,0.000000,0.000000
0.020000,0.127675,7.370000,0.127677,0.832675,2.973841,0.000000,0.000000
0.020000,0.144923,7.370000,0.144925,0.892152,2.973841,-0.000000,0.000000
0.020000,0.163361,7.370000,0.163363,0.951629,2.973841,0.000000,6.283185
0.020000,0.182988,7.370000,0.182990,1.011106,2.973841,0.000000,6.283185
0.020000,0.203786,7.369997,0.203807,1.070583,2.973841,-0.000000,6.281823
0.020000,0.225793,7.369881,0.225814,1.130060,2.973841,0.000000,6.273953
0.020000,0.248986,7.369571,0.249010,1.189536,2.973841,-0.000000,6.265746
0.020000,0.273366,7.369042,0.273395,1.249013,2.973841,-0.000000,6.257217
0.020000,0.298929,7.368265,0.298970,1.308490,2.973841,0.000000,6.248388
0.020000,0.325673,7.367211,0.325735,1.367967,2.973841,-0.000000,6.239278
0.020000,0.353594,7.365853,0.353689,1.427444,2.973841,0.000000,6.229911
0.020000,0.382688,7.364161,0.382832,1.486920,2.973841,0.000000,6.220310
0.020000,0.412952,7.362106,0.413166,1.546397,2.973841,-0.000000,6.210503
0.020000,0.444379,7.359660,0.444688,1.605874,2.973841,0.000000,6.200517
0.020000,0.476965,7.356793,0.477401,1.665351,2.973841,0.000000,6.190383
0.020000,0.510705,7.353477,0.511302,1.724828,2.973841,-0.000000,6.180131
0.020000,0.545590,7.349686,0.546394,1.784305,2.973841,0.000000,6.169797
0.020000,0.581616,7.345393,0.582675,1.843781,2.973841,0.000000,6.159414
0.020000,0.618775,7.340573,0.620145,1.903258,2.973841,0.000000,6.149020
0.020000,0.657060,7.335202,0.658805,1.962735,2.973841,-0.000000,6.138652
0.020000,0.696463,7.329258,0.698654,2.022212,2.973841,0.000000,6.128351
0.020000,0.736978,7.322722,0.739693,2.081689,2.973841,-0.000000,6.118156
0.020000,0.778597,7.315573,0.781922,2.141166,2.973841,-0.000000,6.108111
0.020000,0.821313,7.307799,0.825340,2.200642,2.973841,0.000000,6.098257
0.020000,0.865120,7.299384,0.869948,2.260119,2.973841,0.000000,6.088638
0.020000,0.910011,7.290318,0.915745,2.319596,2.973841,-0.000000,6.079299
0.020000,0.955980,7.280595,0.962731,2.379073,2.973841,0.000000,6.070285
0.020000,1.003024,7.270210,1.010908,2.438550,2.973841,-0.000000,6.061641
0.020000,1.051137,7.259162,1.060273,2.498026,2.973841,-0.000000,6.053413
0.020000,1.100318,7.247454,1.110829,2.557503,2.973841,0.000000,6.045649
0.020000,1.150564,7.235093,1.162574,2.616980,2.973841,-0.000000,6.038395
0.020000,1.201877,7.222089,1.215508,2.676457,2.973841,0.000000,6.031698
0.020000,1.254256,7.208458,1.269632,2.735934,2.973841,0.000000,6.025607
0.020000,1.307705,7.194218,1.324945,2.795411,2.973841,0.000000,6.020171
0.020000,1.362229,7.179395,1.381448,2.854887,2.973841,-0.000000,6.015438
0.020000,1.417834,7.164017,1.439141,2.914364,2.973841,0.000000,6.011459
0.020000,1.474529,7.148119,1.498023,2.973841,2.973841,-0.000000,6.008285
0.020000,1.532325,7.131741,1.558094,3.033318,2.973841,0.000000,6.005968
