dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000018,0.660000,0.000020,0.002000,0.100000,5.000000,6.283185
0.020000,0.000098,0.660000,0.000100,0.006000,0.200000,5.000000,6.283185
0.020000,0.000278,0.660000,0.000280,0.012000,0.300000,5.000000,6.283185
0.020000,0.000598,0.660000,0.000600,0.020000,0.400000,5.000000,6.283185
0.020000,0.001098,0.660000,0.001100,0.030000,0.500000,5.000000,6.283185
0.020000,0.001818,0.660000,0.001820,0.042000,0.600000,5.000000,6.283185
0.020000,0.002798,0.660000,0.002800,0.056000,0.700000,5.000000,6.283185
0.020000,0.004078,0.660000,0.004080,0.072000,0.800000,5.000000,6.283185
0.020000,0.005698,0.660000,0.005700,0.090000,0.900000,5.000000,6.283185
0.020000,0.007698,0.660000,0.007700,0.110000,1.000000,5.000000,6.283185
0.020000,0.010118,0.660000,0.010120,0.132000,1.100000,5.000000,6.283185
0.020000,0.012998,0.660000,0.013000,0.156000,1.200000,5.000000,6.283185
0.020000,0.016378,0.660000,0.016380,0.182000,1.300000,5.000000,6.283185
0.020000,0.020298,0.660000,0.020300,0.210000,1.400000,5.000000,6.283185
0.020000,0.024798,0.660000,0.024800,0.240000,1.500000,5.000000,6.283185
0.020000,0.029918,0.660000,0.029920,0.272000,1.600000,5.000000,6.283185
0.020000,0.035698,0.660000,0.035700,0.306000,1.700000,5.000000,6.283185
0.020000,0.042178,0.660000,0.042180,0.342000,1.800000,5.000000,6.283185
0.020000,0.049398,0.660000,0.049400,0.380000,1.900000,5.000000,0.000000
0.020000,0.057398,0.660000,0.057400,0.420000,2.000000,5.000000,0.000000
0.020000,0.066218,0.660000,0.066220,0.462000,2.100000,5.000000,0.000000
0.020000,0.075898,0.660000,0.075900,0.506000,2.200000,5.000000,0.000000
0.020000,0.086478,0.660000,0.086480,0.552000,2.300000,5.000000,0.000000
0.020000,0.097998,0.660000,0.098000,0.600000,2.400000,5.000000,0.000000
0.020000,0.110498,0.660000,0.110500,0.650000,2.500000,5.000000,0.000000
0.020000,0.124018,0.660000,0.124020,0.702000,2.600000,5.000000,0.000000
0.020000,0.138598,0.660000,0.138600,0.756000,2.700000,5.000000,0.000000
0.020000,0.154278,0.660000,0.154280,0.812000,2.800000,5.000000,0.000000
0.020000,0.171098,0.660000,0.171100,0.870000,2.900000,5.000000,6.283185
0.020000,0.189098,0.660000,0.189100,0.930000,3.000000,5.000000,6.283185
0.020000,0.208279,0.660011,0.208300,0.990000,3.000000,0.000000,0.002590
0.020000,0.228679,0.660128,0.228700,1.050000,3.000000,-0.000000,0.008932
0.020000,0.250277,0.660393,0.250300,1.110000,3.000000,0.000000,0.015583
0.020000,0.273073,0.660828,0.273100,1.170000,3.000000,0.000000,0.022532
0.020000,0.297065,0.661456,0.297100,1.230000,3.000000,0.000000,0.029765
0.020000,0.322251,0.662300,0.322300,1.290000,3.000000,0.000000,0.037265
0.020000,0.348628,0.663386,0.348700,1.350000,3.000000,0.000000,0.045017
0.020000,0.376195,0.664739,0.376300,1.410000,3.000000,-0.000000,0.053003
0.020000,0.404948,0.666383,0.405100,1.470000,3.000000,0.000000,0.061204
0.020000,0.434884,0.668344,0.435100,1.530000,3.000000,0.000000,0.069599
0.020000,0.465998,0.670647,0.466300,1.590000,3.000000,0.000000,0.078168
0.020000,0.498288,0.673318,0.498700,1.650000,3.000000,0.000000,0.086886
0.020000,0.531748,0.676383,0.532300,1.710000,3.000000,0.000000,0.095730
0.020000,0.566373,0.679865,0.567100,1.770000,3.000000,-0.000000,0.104674
