dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.400000,4.250000,0.000020,0.001972,0.098604,4.930221,0.000000
0.020000,1.400061,4.250000,0.000099,0.005916,0.197209,4.930221,0.000000
0.020000,1.400238,4.250000,0.000276,0.011833,0.295813,4.930221,0.000000
0.020000,1.400554,4.250000,0.000592,0.019721,0.394418,4.930221,0.000000
0.020000,1.401047,4.250000,0.001085,0.029581,0.493022,4.930221,0.000000
0.020000,1.401757,4.250000,0.001795,0.041414,0.591627,4.930221,0.000000
0.020000,1.402723,4.250000,0.002761,0.055218,0.690231,4.930221,0.000000
0.020000,1.403985,4.250000,0.004023,0.070995,0.788835,4.930221,0.000000
0.020000,1.405583,4.250000,0.005620,0.088744,0.887440,4.930221,0.000000
0.020000,1.407555,4.250000,0.007593,0.108465,0.986044,4.930221,0.000000
0.020000,1.409941,4.250000,0.009979,0.130158,1.084649,4.930221,0.000000
0.020000,1.412781,4.250000,0.012819,0.153823,1.183253,4.930221,0.000000
0.020000,1.416114,4.250000,0.016151,0.179460,1.281857,4.930221,0.000000
0.020000,1.419979,4.250000,0.020017,0.207069,1.380462,4.930221,0.000000
0.020000,1.424416,4.250000,0.024454,0.236651,1.479066,4.930221,0.000000
0.020000,1.429465,4.250000,0.029502,0.268204,1.577671,4.930221,0.000000
0.020000,1.435164,4.250000,0.035202,0.301730,1.676275,4.930221,0.000000
0.020000,1.441554,4.250000,0.041591,0.337227,1.774880,4.930221,0.000000
0.020000,1.448673,4.250000,0.048711,0.374697,1.873484,4.930221,0.000000
0.020000,1.456561,4.250000,0.056599,0.414139,1.972088,4.930221,0.000000
0.020000,1.465258,4.250000,0.065296,0.455552,2.070693,4.930221,0.000000
0.020000,1.474803,4.250000,0.074841,0.498938,2.169297,4.930221,0.000000
0.020000,1.485236,4.250000,0.085273,0.544296,2.267902,4.930221,0.000000
0.020000,1.496595,4.250000,0.096632,0.591627,2.366506,4.930221,0.000000
0.020000,1.508920,4.250000,0.108958,0.640929,2.465110,4.930221,0.000000
0.020000,1.522252,4.250000,0.122289,0.692203,2.563715,4.930221,0.000000
0.020000,1.536628,4.250000,0.136666,0.745449,2.662319,4.930221,0.000000
0.020000,1.552089,4.250000,0.152127,0.800668,2.760924,4.930221,0.000000
0.020000,1.568675,4.250000,0.168712,0.857858,2.859528,4.930221,0.000000
0.020000,1.586423,4.250000,0.186461,0.917021,2.958133,4.930221,0.000000
