dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.220000,3.750000,0.000020,0.001964,0.098224,4.911222,0.000000
0.020000,2.220069,3.750000,0.000098,0.005893,0.196449,4.911222,0.000000
0.020000,2.220246,3.750000,0.000275,0.011787,0.294673,4.911222,0.000000
0.020000,2.220560,3.750000,0.000589,0.019645,0.392898,4.911222,0.000000
0.020000,2.221051,3.750000,0.001080,0.029467,0.491122,4.911222,0.000000
0.020000,2.221758,3.750000,0.001788,0.041254,0.589347,4.911222,0.000000
0.020000,2.222721,3.750000,0.002750,0.055006,0.687571,4.911222,0.000000
0.020000,2.223978,3.750000,0.004008,0.070722,0.785796,4.911222,0.000000
0.020000,2.225569,3.750000,0.005599,0.088402,0.884020,4.911222,0.000000
0.020000,2.227534,3.750000,0.007563,0.108047,0.982244,4.911222,0.000000
0.020000,2.229911,3.750000,0.009940,0.129656,1.080469,4.911222,0.000000
0.020000,2.232740,3.750000,0.012769,0.153230,1.178693,4.911222,0.000000
0.020000,2.236060,3.750000,0.016089,0.178768,1.276918,4.911222,0.000000
0.020000,2.239910,3.750000,0.019940,0.206271,1.375142,4.911222,0.000000
0.020000,2.244330,3.750000,0.024360,0.235739,1.473367,4.911222,0.000000
0.020000,2.249359,3.750000,0.029389,0.267170,1.571591,4.911222,0.000000
0.020000,2.255037,3.750000,0.035066,0.300567,1.669815,4.911222,0.000000
0.020000,2.261402,3.750000,0.041431,0.335928,1.768040,4.911222,0.000000
0.020000,2.268493,3.750000,0.048523,0.373253,1.866264,4.911222,0.000000
0.020000,2.276351,3.750000,0.056381,0.412543,1.964489,4.911222,0.000000
0.020000,2.285015,3.750000,0.065044,0.453797,2.062713,4.911222,0.000000
0.020000,2.294523,3.750000,0.074552,0.497016,2.160938,4.911222,0.000000
0.020000,2.304915,3.750000,0.084944,0.542199,2.259162,4.911222,0.000000
0.020000,2.316231,3.750000,0.096260,0.589347,2.357387,4.911222,0.000000
0.020000,2.328509,3.750000,0.108538,0.638459,2.455611,4.911222,0.000000
0.020000,2.341789,3.750000,0.121818,0.689536,2.553835,4.911222,0.000000
