dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.400000,4.000000,0.000020,0.001961,0.098039,4.901961,6.283184
0.020000,1.400068,4.000000,0.000098,0.005882,0.196078,4.901961,0.000011
0.020000,1.400244,4.000000,0.000275,0.011765,0.294118,4.901961,0.000040
0.020000,1.400558,4.000000,0.000588,0.019608,0.392157,4.901961,0.000091
0.020000,1.401048,4.000000,0.001078,0.029412,0.490196,4.901961,0.000171
0.020000,1.401754,4.000000,0.001784,0.041176,0.588235,4.901961,0.000286
0.020000,1.402715,4.000001,0.002745,0.054902,0.686275,4.901961,0.000443
0.020000,1.403970,4.000001,0.004000,0.070588,0.784314,4.901961,0.000647
0.020000,1.405558,4.000003,0.005588,0.088235,0.882353,4.901961,0.000906
0.020000,1.407519,4.000005,0.007549,0.107843,0.980392,4.901961,0.001225
0.020000,1.409891,4.000008,0.009922,0.129412,1.078431,4.901961,0.001610
0.020000,1.412715,4.000013,0.012745,0.152941,1.176471,4.901961,0.002068
0.020000,1.416028,4.000021,0.016059,0.178431,1.274510,4.901961,0.002604
0.020000,1.419872,4.000032,0.019902,0.205882,1.372549,4.901961,0.003225
0.020000,1.424283,4.000048,0.024314,0.235294,1.470588,4.901961,0.003936
0.020000,1.429303,4.000070,0.029333,0.266667,1.568627,4.901961,0.004742
0.020000,1.434970,4.000099,0.035000,0.300000,1.666667,4.901961,0.005649
0.020000,1.441303,4.000138,0.041333,0.333333,1.666667,0.000000,0.006658
0.020000,1.448303,4.000189,0.048333,0.366667,1.666667,0.000000,0.007769
0.020000,1.455969,4.000253,0.056000,0.400000,1.666667,0.000000,0.008981
0.020000,1.464302,4.000333,0.064333,0.433333,1.666667,-0.000000,0.010290
0.020000,1.473301,4.000432,0.073333,0.466667,1.666667,0.000000,0.011697
0.020000,1.482967,4.000552,0.083000,0.500000,1.666667,0.000000,0.013198
0.020000,1.493300,4.000697,0.093333,0.533333,1.666667,0.000000,0.014793
0.020000,1.504298,4.000869,0.104333,0.566667,1.666667,0.000000,0.016478
0.020000,1.515963,4.001072,0.116000,0.600000,1.666667,0.000000,0.018251
0.020000,1.528294,4.001308,0.128333,0.633333,1.666667,0.000000,0.020111
0.020000,1.541291,4.001582,0.141333,0.666667,1.666667,0.000000,0.022053
0.020000,1.554954,4.001897,0.155000,0.700000,1.666667,0.000000,0.024077
0.020000,1.569283,4.002258,0.169333,0.733333,1.666667,0.000000,0.026178
0.020000,1.584258,4.002666,0.184314,0.764706,1.568627,-4.901961,0.028351
0.020000,1.599839,4.003125,0.199902,0.794118,1.470588,-4.901961,0.030587
0.020000,1.615988,4.003638,0.216059,0.821569,1.372549,-4.901961,0.032877
0.020000,1.632665,4.004206,0.232745,0.847059,1.274510,-4.901961,0.035214
0.020000,1.649830,4.004831,0.249922,0.870588,1.176471,-4.901961,0.037588
0.020000,1.667444,4.005515,0.267549,0.892157,1.078431,-4.901961,0.039993
0.020000,1.685468,4.006258,0.285588,0.911765,0.980392,-4.901961,0.042419
0.020000,1.703862,4.007061,0.304000,0.929412,0.882353,-4.901961,0.044859
0.020000,1.722587,4.007925,0.322745,0.945098,0.784314,-4.901961,0.047306
0.020000,1.741604,4.008848,0.341784,0.958824,0.686275,-4.901961,0.049753
0.020000,1.760873,4.009832,0.361078,0.970588,0.588235,-4.901961,0.052194
0.020000,1.780355,4.010873,0.380588,0.980392,0.490196,-4.901961,0.054620
0.020000,1.800011,4.011972,0.400275,0.988235,0.392157,-4.901961,0.057027
0.020000,1.819801,4.013125,0.420098,0.994118,0.294118,-4.901961,0.059409
0.020000,1.839686,4.014331,0.440020,0.998039,0.196078,-4.901961,0.061760
0.020000,1.859627,4.015588,0.460000,1.000000,0.098039,-4.901961,0.064074
0.020000,1.879584,4.016891,0.480000,1.000000,0.000000,-4.901961,0.066347
0.020000,1.899539,4.018239,0.500000,1.000000,0.000000,0.000000,0.068577
0.020000,1.919490,4.019632,0.520000,1.000000,0.000000,0.000000,0.070763
0.020000,1.939438,4.021067,0.540000,1.000000,0.000000,0.000000,0.072906
0.020000,1.959384,4.022545,0.560000,1.000000,0.000000,0.000000,0.075006
0.020000,1.979326,4.024064,0.580000,1.000000,0.000000,0.000000,0.077061
0.020000,1.999265,4.025624,0.600000,1.000000,0.000000,0.000000,0.079073
0.020000,2.019201,4.027224,0.620000,1.000000,0.000000,0.000000,0.081042
