dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.400000,4.000000,0.000020,0.001961,0.098039,4.901961,0.000002
0.020000,1.400060,4.000000,0.000098,0.005882,0.196078,4.901961,6.283179
0.020000,1.400237,4.000000,0.000275,0.011765,0.294118,4.901961,6.283160
0.020000,1.400550,4.000000,0.000588,0.019608,0.392157,4.901961,6.283127
0.020000,1.401041,4.000000,0.001078,0.029412,0.490196,4.901961,6.283076
0.020000,1.401747,4.000000,0.001784,0.041176,0.588235,4.901961,6.283002
0.020000,1.402707,4.000000,0.002745,0.054902,0.686275,4.901961,6.282901
0.020000,1.403962,3.999999,0.004000,0.070588,0.784314,4.901961,6.282769
0.020000,1.405550,3.999998,0.005588,0.088235,0.882353,4.901961,6.282602
0.020000,1.407511,3.999997,0.007549,0.107843,0.980392,4.901961,6.282397
0.020000,1.409884,3.999995,0.009922,0.129412,1.078431,4.901961,6.282148
0.020000,1.412707,3.999992,0.012745,0.152941,1.176471,4.901961,6.281853
0.020000,1.416021,3.999987,0.016059,0.178431,1.274510,4.901961,6.281507
0.020000,1.419864,3.999979,0.019902,0.205882,1.372549,4.901961,6.281107
0.020000,1.424276,3.999969,0.024314,0.235294,1.470588,4.901961,6.280648
0.020000,1.429296,3.999955,0.029333,0.266667,1.568627,4.901961,6.280127
0.020000,1.434962,3.999936,0.035000,0.300000,1.666667,4.901961,6.279541
0.020000,1.441295,3.999911,0.041333,0.333333,1.666667,0.000000,6.278888
0.020000,1.448295,3.999878,0.048333,0.366667,1.666667,0.000000,6.278169
0.020000,1.455962,3.999837,0.056000,0.400000,1.666667,0.000000,6.277384
0.020000,1.464295,3.999785,0.064333,0.433333,1.666667,-0.000000,6.276534
0.020000,1.473295,3.999721,0.073333,0.466667,1.666667,0.000000,6.275621
0.020000,1.482961,3.999643,0.083000,0.500000,1.666667,0.000000,6.274645
0.020000,1.493294,3.999550,0.093333,0.533333,1.666667,0.000000,6.273607
0.020000,1.504294,3.999438,0.104333,0.566667,1.666667,0.000000,6.272509
0.020000,1.515959,3.999307,0.116000,0.600000,1.666667,0.000000,6.271351
0.020000,1.528292,3.999153,0.128333,0.633333,1.666667,0.000000,6.270135
0.020000,1.541291,3.998975,0.141333,0.666667,1.666667,0.000000,6.268863
0.020000,1.554956,3.998771,0.155000,0.700000,1.666667,0.000000,6.267535
0.020000,1.569287,3.998536,0.169333,0.733333,1.666667,0.000000,6.266153
0.020000,1.584265,3.998271,0.184314,0.764706,1.568627,-4.901961,6.264721
0.020000,1.599851,3.997971,0.199902,0.794118,1.470588,-4.901961,6.263243
0.020000,1.616004,3.997637,0.216059,0.821569,1.372549,-4.901961,6.261726
0.020000,1.632686,3.997266,0.232745,0.847059,1.274510,-4.901961,6.260174
0.020000,1.649858,3.996857,0.249922,0.870588,1.176471,-4.901961,6.258592
0.020000,1.667479,3.996409,0.267549,0.892157,1.078431,-4.901961,6.256986
0.020000,1.685512,3.995922,0.285588,0.911765,0.980392,-4.901961,6.255360
0.020000,1.703916,3.995395,0.304000,0.929412,0.882353,-4.901961,6.253719
0.020000,1.722653,3.994827,0.322745,0.945098,0.784314,-4.901961,6.252067
0.020000,1.741682,3.994219,0.341784,0.958824,0.686275,-4.901961,6.250410
0.020000,1.760966,3.993570,0.361078,0.970588,0.588235,-4.901961,6.248750
0.020000,1.780463,3.992883,0.380588,0.980392,0.490196,-4.901961,6.247093
0.020000,1.800136,3.992156,0.400275,0.988235,0.392157,-4.901961,6.245442
0.020000,1.819945,3.991392,0.420098,0.994118,0.294118,-4.901961,6.243802
0.020000,1.839850,3.990591,0.440020,0.998039,0.196078,-4.901961,6.242176
0.020000,1.859813,3.989756,0.460000,1.000000,0.098039,-4.901961,6.240566
0.020000,1.879794,3.988888,0.480000,1.000000,0.000000,-4.901961,6.238978
