dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.280009,5.120000,0.000020,0.002000,0.100000,5.000000,0.000000
0.020000,0.280089,5.120000,0.000100,0.006000,0.200000,5.000000,0.000000
0.020000,0.280269,5.120000,0.000280,0.012000,0.300000,5.000000,0.000000
0.020000,0.280589,5.120000,0.000600,0.020000,0.400000,5.000000,0.000000
0.020000,0.281089,5.120000,0.001100,0.030000,0.500000,5.000000,0.000000
0.020000,0.281809,5.120000,0.001820,0.042000,0.600000,5.000000,0.000000
0.020000,0.282789,5.120000,0.002800,0.056000,0.700000,5.000000,0.000000
0.020000,0.284069,5.120000,0.004080,0.072000,0.800000,5.000000,0.000000
0.020000,0.285689,5.120000,0.005700,0.090000,0.900000,5.000000,0.000000
0.020000,0.287689,5.120000,0.007700,0.110000,1.000000,5.000000,0.000000
0.020000,0.290109,5.120000,0.010120,0.132000,1.100000,5.000000,0.000000
0.020000,0.292989,5.120000,0.013000,0.156000,1.200000,5.000000,0.000000
0.020000,0.296369,5.120000,0.016380,0.182000,1.300000,5.000000,0.000000
0.020000,0.300289,5.120000,0.020300,0.210000,1.400000,5.000000,0.000000
0.020000,0.304789,5.120000,0.024800,0.240000,1.500000,5.000000,0.000000
0.020000,0.309909,5.120000,0.029920,0.272000,1.600000,5.000000,0.000000
0.020000,0.315689,5.120000,0.035700,0.306000,1.700000,5.000000,0.000000
0.020000,0.322169,5.120000,0.042180,0.342000,1.800000,5.000000,0.000000
0.020000,0.329389,5.120000,0.049400,0.380000,1.900000,5.000000,0.000000
0.020000,0.337389,5.120000,0.057400,0.420000,2.000000,5.000000,0.000000
0.020000,0.346209,5.120000,0.066220,0.462000,2.100000,5.000000,0.000000
0.020000,0.355889,5.120000,0.075900,0.506000,2.200000,5.000000,0.000000
0.020000,0.366469,5.120000,0.086480,0.552000,2.300000,5.000000,0.000000
0.020000,0.377989,5.120000,0.098000,0.600000,2.400000,5.000000,0.000000
0.020000,0.390489,5.120000,0.110500,0.650000,2.500000,5.000000,0.000000
0.020000,0.404009,5.120000,0.124020,0.702000,2.600000,5.000000,0.000000
0.020000,0.418589,5.120000,0.138600,0.756000,2.700000,5.000000,0.000000
0.020000,0.434269,5.120000,0.154280,0.812000,2.800000,5.000000,0.000000
0.020000,0.451089,5.120000,0.171100,0.870000,2.900000,5.000000,0.000000
0.020000,0.469089,5.120000,0.189100,0.930000,3.000000,5.000000,0.000000
0.020000,0.488289,5.120000,0.208300,0.990000,3.000000,0.000000,0.000000
0.020000,0.508689,5.120000,0.228700,1.050000,3.000000,-0.000000,0.000000
0.020000,0.530289,5.120000,0.250300,1.110000,3.000000,0.000000,0.000000
0.020000,0.553089,5.120000,0.273100,1.170000,3.000000,0.000000,0.000000
0.020000,0.577089,5.120000,0.297100,1.230000,3.000000,0.000000,0.000000
0.020000,0.602289,5.120000,0.322300,1.290000,3.000000,0.000000,0.000000
0.020000,0.628689,5.120000,0.348700,1.350000,3.000000,0.000000,0.000000
0.020000,0.656289,5.120000,0.376300,1.410000,3.000000,-0.000000,0.000000
0.020000,0.685089,5.120000,0.405100,1.470000,3.000000,0.000000,0.000000
0.020000,0.715089,5.120000,0.435100,1.530000,3.000000,0.000000,0.000000
0.020000,0.746289,5.120000,0.466300,1.590000,3.000000,0.000000,0.000000
0.020000,0.778689,5.120000,0.498700,1.650000,3.000000,0.000000,0.000000
0.020000,0.812289,5.120000,0.532300,1.710000,3.000000,0.000000,0.000000
0.020000,0.847089,5.120000,0.567100,1.770000,3.000000,-0.000000,0.000000
0.020000,0.883089,5.120000,0.603100,1.830000,3.000000,0.000000,0.000000
0.020000,0.920289,5.120000,0.640300,1.890000,3.000000,0.000000,0.000000
0.020000,0.958689,5.120000,0.678700,1.950000,3.000000,0.000000,0.000000
0.020000,0.998289,5.120000,0.718300,2.010000,3.000000,0.000000,0.000000
0.020000,1.039089,5.120000,0.759100,2.070000,3.000000,-0.000000,0.000000
0.020000,1.081089,5.120000,0.801100,2.130000,3.000000,0.000000,0.000000
0.020000,1.124269,5.120000,0.844280,2.188000,2.900000,-5.000000,0.000000
0.020000,1.168589,5.120000,0.888600,2.244000,2.800000,-5.000000,0.000000
0.020000,1.214009,5.120000,0.934020,2.298000,2.700000,-5.000000,0.000000
0.020000,1.260489,5.120000,0.980500,2.350000,2.600000,-5.000000,0.000000
0.020000,1.307989,5.120000,1.028000,2.400000,2.500000,-5.000000,0.000000
0.020000,1.356469,5.120000,1.076480,2.448000,2.400000,-5.000000,0.000000
0.020000,1.405846,5.120005,1.125900,2.494000,2.300000,-5.000000,0.001677
0.020000,1.456164,5.120450,1.176220,2.538000,2.200000,-5.000000,0.015991
0.020000,1.507329,5.121636,1.227400,2.580000,2.100000,-5.000000,0.030320
0.020000,1.559292,5.123586,1.279400,2.620000,2.000000,-5.000000,0.044624
0.020000,1.612001,5.126317,1.332180,2.658000,1.900000,-5.000000,0.058864
0.020000,1.665404,5.129844,1.385700,2.694000,1.800000,-5.000000,0.072999
0.020000,1.719450,5.134178,1.439920,2.728000,1.700000,-5.000000,0.086991
0.020000,1.774088,5.139325,1.494800,2.760000,1.600000,-5.000000,0.100801
0.020000,1.829267,5.145287,1.550300,2.790000,1.500000,-5.000000,0.114393
0.020000,1.884935,5.152062,1.606380,2.818000,1.400000,-5.000000,0.127730
0.020000,1.941045,5.159642,1.663000,2.844000,1.300000,-5.000000,0.140779
0.020000,1.997547,5.168019,1.720120,2.868000,1.200000,-5.000000,0.153507
0.020000,2.054394,5.177177,1.777700,2.890000,1.100000,-5.000000,0.165885
0.020000,2.111539,5.187100,1.835700,2.910000,1.000000,-5.000000,0.177885
0.020000,2.168936,5.197765,1.894080,2.928000,0.900000,-5.000000,0.189482
0.020000,2.226541,5.209149,1.952800,2.944000,0.800000,-5.000000,0.200651
0.020000,2.284312,5.221225,2.011820,2.958000,0.700000,-5.000000,0.211373
0.020000,2.342208,5.233961,2.071100,2.970000,0.600000,-5.000000,0.221629
