dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.200000,5.000000,0.000020,0.002000,0.100000,5.000000,6.283178
0.020000,1.200055,5.000000,0.000100,0.006000,0.200000,5.000000,0.000016
0.020000,1.200235,5.000000,0.000280,0.012000,0.300000,5.000000,0.000069
0.020000,1.200555,5.000000,0.000600,0.020000,0.400000,5.000000,0.000162
0.020000,1.201055,5.000000,0.001100,0.030000,0.500000,5.000000,0.000308
0.020000,1.201775,5.000000,0.001820,0.042000,0.600000,5.000000,0.000518
0.020000,1.202755,5.000001,0.002800,0.056000,0.700000,5.000000,0.000804
0.020000,1.204035,5.000002,0.004080,0.072000,0.800000,5.000000,0.001178
0.020000,1.205655,5.000005,0.005700,0.090000,0.900000,5.000000,0.001650
0.020000,1.207655,5.000009,0.007700,0.110000,1.000000,5.000000,0.002234
0.020000,1.210075,5.000015,0.010120,0.132000,1.100000,5.000000,0.002939
0.020000,1.212955,5.000024,0.013000,0.156000,1.200000,5.000000,0.003778
0.020000,1.216335,5.000039,0.016380,0.182000,1.300000,5.000000,0.004761
0.020000,1.220255,5.000060,0.020300,0.210000,1.400000,5.000000,0.005901
0.020000,1.224754,5.000089,0.024800,0.240000,1.500000,5.000000,0.007208
0.020000,1.229874,5.000130,0.029920,0.272000,1.600000,5.000000,0.008693
0.020000,1.235654,5.000185,0.035700,0.306000,1.700000,5.000000,0.010368
0.020000,1.242134,5.000258,0.042180,0.342000,1.800000,5.000000,0.012242
0.020000,1.249353,5.000354,0.049400,0.380000,1.900000,5.000000,0.014327
0.020000,1.257352,5.000478,0.057400,0.420000,2.000000,5.000000,0.016632
0.020000,1.266171,5.000636,0.066220,0.462000,2.100000,5.000000,0.019168
0.020000,1.275849,5.000835,0.075900,0.506000,2.200000,5.000000,0.021944
0.020000,1.286426,5.001083,0.086480,0.552000,2.300000,5.000000,0.024970
0.020000,1.297942,5.001390,0.098000,0.600000,2.400000,5.000000,0.028254
0.020000,1.310436,5.001765,0.110500,0.650000,2.500000,5.000000,0.031804
0.020000,1.323948,5.002221,0.124020,0.702000,2.600000,5.000000,0.035630
0.020000,1.338518,5.002770,0.138600,0.756000,2.700000,5.000000,0.039738
0.020000,1.354184,5.003428,0.154280,0.812000,2.800000,5.000000,0.044136
0.020000,1.370986,5.004209,0.171100,0.870000,2.900000,5.000000,0.048828
0.020000,1.388962,5.005133,0.189100,0.930000,3.000000,5.000000,0.053821
0.020000,1.408132,5.006216,0.208300,0.990000,3.000000,0.000000,0.059112
0.020000,1.428492,5.007478,0.228700,1.050000,3.000000,-0.000000,0.064696
0.020000,1.450043,5.008938,0.250300,1.110000,3.000000,0.000000,0.070563
0.020000,1.472781,5.010616,0.273100,1.170000,3.000000,0.000000,0.076705
0.020000,1.496705,5.012531,0.297100,1.230000,3.000000,0.000000,0.083112
0.020000,1.521810,5.014707,0.322300,1.290000,3.000000,0.000000,0.089773
0.020000,1.548096,5.017165,0.348700,1.350000,3.000000,0.000000,0.096678
0.020000,1.575557,5.019927,0.376300,1.410000,3.000000,-0.000000,0.103813
0.020000,1.604191,5.023017,0.405100,1.470000,3.000000,0.000000,0.111166
0.020000,1.633993,5.026458,0.435100,1.530000,3.000000,0.000000,0.118723
0.020000,1.664958,5.030274,0.466300,1.590000,3.000000,0.000000,0.126468
0.020000,1.697083,5.034488,0.498700,1.650000,3.000000,0.000000,0.134385
0.020000,1.730362,5.039125,0.532300,1.710000,3.000000,0.000000,0.142459
0.020000,1.764788,5.044207,0.567100,1.770000,3.000000,-0.000000,0.150670
0.020000,1.800357,5.049760,0.603100,1.830000,3.000000,0.000000,0.159000
0.020000,1.837063,5.055805,0.640300,1.890000,3.000000,0.000000,0.167430
0.020000,1.874898,5.062366,0.678700,1.950000,3.000000,0.000000,0.175939
0.020000,1.913856,5.069465,0.718300,2.010000,3.000000,0.000000,0.184505
0.020000,1.953931,5.077123,0.759100,2.070000,3.000000,-0.000000,0.193107
0.020000,1.995115,5.085361,0.801100,2.130000,3.000000,0.000000,0.201722
0.020000,2.037382,5.094196,0.844280,2.188000,2.900000,-5.000000,0.210322
0.020000,2.080685,5.103635,0.888600,2.244000,2.800000,-5.000000,0.218876
0.020000,2.124978,5.113686,0.934020,2.298000,2.700000,-5.000000,0.227352
0.020000,2.170218,5.124353,0.980500,2.350000,2.600000,-5.000000,0.235720
0.020000,2.216358,5.135637,1.028000,2.400000,2.500000,-5.000000,0.243951
0.020000,2.263354,5.147538,1.076480,2.448000,2.400000,-5.000000,0.252016
0.020000,2.311164,5.160051,1.125900,2.494000,2.300000,-5.000000,0.259887
0.020000,2.359744,5.173169,1.176220,2.538000,2.200000,-5.000000,0.267537
0.020000,2.409052,5.186883,1.227400,2.580000,2.100000,-5.000000,0.274940
0.020000,2.459048,5.201180,1.279400,2.620000,2.000000,-5.000000,0.282071
0.020000,2.509691,5.216046,1.332180,2.658000,1.900000,-5.000000,0.288909
0.020000,2.560942,5.231463,1.385700,2.694000,1.800000,-5.000000,0.295429
0.020000,2.612763,5.247412,1.439920,2.728000,1.700000,-5.000000,0.301612
0.020000,2.665118,5.263869,1.494800,2.760000,1.600000,-5.000000,0.307439
0.020000,2.717969,5.280810,1.550300,2.790000,1.500000,-5.000000,0.312890
0.020000,2.771281,5.298209,1.606380,2.818000,1.400000,-5.000000,0.317950
0.020000,2.825021,5.316037,1.663000,2.844000,1.300000,-5.000000,0.322603
0.020000,2.879155,5.334263,1.720120,2.868000,1.200000,-5.000000,0.326834
0.020000,2.933651,5.352854,1.777700,2.890000,1.100000,-5.000000,0.330631
0.020000,2.988478,5.371777,1.835700,2.910000,1.000000,-5.000000,0.333981
0.020000,3.043603,5.390996,1.894080,2.928000,0.900000,-5.000000,0.336874
0.020000,3.098998,5.410475,1.952800,2.944000,0.800000,-5.000000,0.339302
0.020000,3.154634,5.430175,2.011820,2.958000,0.700000,-5.000000,0.341254
0.020000,3.210480,5.450058,2.071100,2.970000,0.600000,-5.000000,0.342725
0.020000,3.266509,5.470083,2.130600,2.980000,0.500000,-5.000000,0.343708
0.020000,3.322692,5.490210,2.190280,2.988000,0.400000,-5.000000,0.344197
0.020000,3.379003,5.510398,2.250100,2.994000,0.300000,-5.000000,0.344190
0.020000,3.435413,5.530605,2.310020,2.998000,0.200000,-5.000000,0.343682
0.020000,3.491895,5.550789,2.370000,3.000000,0.100000,-5.000000,0.342672
0.020000,3.548421,5.570909,2.430000,3.000000,0.000000,-5.000000,0.341160
0.020000,3.604982,5.590929,2.490000,3.000000,0.000000,0.000000,0.339143
0.020000,3.661589,5.610821,2.550000,3.000000,0.000000,0.000000,0.336622
0.020000,3.718250,5.630556,2.610000,3.000000,0.000000,0.000000,0.333595
0.020000,3.774976,5.650105,2.670000,3.000000,0.000000,0.000000,0.330060
0.020000,3.831776,5.669438,2.730000,3.000000,0.000000,0.000000,0.326016
0.020000,3.888658,5.688527,2.790000,3.000000,0.000000,0.000000,0.321461
0.020000,3.945632,5.707343,2.850000,3.000000,0.000000,0.000000,0.316393
0.020000,4.002705,5.725854,2.910000,3.000000,0.000000,0.000000,0.310810
0.020000,4.059885,5.744032,2.970000,3.000000,0.000000,0.000000,0.304709
0.020000,4.117179,5.761846,3.030000,3.000000,0.000000,0.000000,0.298090
0.020000,4.174595,5.779265,3.090000,3.000000,0.000000,0.000000,0.290951
0.020000,4.232138,5.796259,3.150000,3.000000,0.000000,0.000000,0.283290
0.020000,4.289813,5.812797,3.210000,3.000000,0.000000,0.000000,0.275106
0.020000,4.347627,5.828847,3.270000,3.000000,0.000000,0.000000,0.266399
0.020000,4.405582,5.844377,3.330000,3.000000,0.000000,0.000000,0.257169
