dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.400000,2.880000,0.000020,0.001961,0.098039,4.901961,0.000007
0.020000,1.400055,2.880000,0.000098,0.005882,0.196078,4.901961,6.283169
0.020000,1.400232,2.880000,0.000275,0.011765,0.294118,4.901961,6.283119
0.020000,1.400545,2.880000,0.000588,0.019608,0.392157,4.901961,6.283029
0.020000,1.401036,2.880000,0.001078,0.029412,0.490196,4.901961,6.282888
0.020000,1.401741,2.880000,0.001784,0.041176,0.588235,4.901961,6.282686
0.020000,1.402702,2.879999,0.002745,0.054902,0.686275,4.901961,6.282410
0.020000,1.403957,2.879998,0.004000,0.070588,0.784314,4.901961,6.282050
0.020000,1.405545,2.879996,0.005588,0.088235,0.882353,4.901961,6.281595
0.020000,1.407506,2.879992,0.007549,0.107843,0.980392,4.901961,6.281033
0.020000,1.409879,2.879986,0.009922,0.129412,1.078431,4.901961,6.280354
0.020000,1.412702,2.879977,0.012745,0.152941,1.176471,4.901961,6.279546
0.020000,1.416016,2.879963,0.016059,0.178431,1.274510,4.901961,6.278599
0.020000,1.419859,2.879944,0.019902,0.205882,1.372549,4.901961,6.277501
0.020000,1.424271,2.879916,0.024314,0.235294,1.470588,4.901961,6.276243
0.020000,1.429290,2.879877,0.029333,0.266667,1.568627,4.901961,6.274813
0.020000,1.434957,2.879825,0.035000,0.300000,1.666667,4.901961,6.273201
0.020000,1.441289,2.879756,0.041333,0.333333,1.666667,0.000000,6.271404
0.020000,1.448289,2.879667,0.048333,0.366667,1.666667,0.000000,6.269421
0.020000,1.455955,2.879553,0.056000,0.400000,1.666667,0.000000,6.267254
0.020000,1.464287,2.879410,0.064333,0.433333,1.666667,-0.000000,6.264904
0.020000,1.473285,2.879235,0.073333,0.466667,1.666667,0.000000,6.262374
0.020000,1.482949,2.879020,0.083000,0.500000,1.666667,0.000000,6.259664
0.020000,1.493280,2.878762,0.093333,0.533333,1.666667,0.000000,6.256777
0.020000,1.504275,2.878455,0.104333,0.566667,1.666667,0.000000,6.253714
0.020000,1.515936,2.878092,0.116000,0.600000,1.666667,0.000000,6.250479
0.020000,1.528262,2.877668,0.128333,0.633333,1.666667,0.000000,6.247072
0.020000,1.541253,2.877175,0.141333,0.666667,1.666667,0.000000,6.243498
0.020000,1.554908,2.876608,0.155000,0.700000,1.666667,0.000000,6.239758
0.020000,1.569226,2.875957,0.169333,0.733333,1.666667,0.000000,6.235856
0.020000,1.584188,2.875218,0.184314,0.764706,1.568627,-4.901961,6.231800
0.020000,1.599754,2.874385,0.199902,0.794118,1.470588,-4.901961,6.227605
0.020000,1.615884,2.873453,0.216059,0.821569,1.372549,-4.901961,6.223283
0.020000,1.632538,2.872417,0.232745,0.847059,1.274510,-4.901961,6.218850
0.020000,1.649677,2.871273,0.249922,0.870588,1.176471,-4.901961,6.214318
0.020000,1.667260,2.870020,0.267549,0.892157,1.078431,-4.901961,6.209700
0.020000,1.685247,2.868653,0.285588,0.911765,0.980392,-4.901961,6.205012
0.020000,1.703599,2.867172,0.304000,0.929412,0.882353,-4.901961,6.200264
0.020000,1.722276,2.865574,0.322745,0.945098,0.784314,-4.901961,6.195472
0.020000,1.741238,2.863861,0.341784,0.958824,0.686275,-4.901961,6.190646
0.020000,1.760445,2.862031,0.361078,0.970588,0.588235,-4.901961,6.185800
0.020000,1.779858,2.860087,0.380588,0.980392,0.490196,-4.901961,6.180946
0.020000,1.799436,2.858030,0.400275,0.988235,0.392157,-4.901961,6.176095
0.020000,1.819141,2.855864,0.420098,0.994118,0.294118,-4.901961,6.171259
0.020000,1.838932,2.853591,0.440020,0.998039,0.196078,-4.901961,6.166449
0.020000,1.858771,2.851216,0.460000,1.000000,0.098039,-4.901961,6.161676
0.020000,1.878618,2.848745,0.480000,1.000000,0.000000,-4.901961,6.156950
0.020000,1.898453,2.846181,0.500000,1.000000,0.000000,0.000000,6.152275
0.020000,1.918276,2.843524,0.520000,1.000000,0.000000,0.000000,6.147653
0.020000,1.938086,2.840776,0.540000,1.000000,0.000000,0.000000,6.143085
0.020000,1.957884,2.837939,0.560000,1.000000,0.000000,0.000000,6.138570
0.020000,1.977668,2.835012,0.580000,1.000000,0.000000,0.000000,6.134109
0.020000,1.997440,2.831998,0.600000,1.000000,0.000000,0.000000,6.129702
0.020000,2.017198,2.828897,0.620000,1.000000,0.000000,0.000000,6.125350
0.020000,2.036943,2.825711,0.640000,1.000000,0.000000,0.000000,6.121054
0.020000,2.056673,2.822441,0.660000,1.000000,0.000000,0.000000,6.116813
0.020000,2.076390,2.819087,0.680000,1.000000,0.000000,0.000000,6.112628
0.020000,2.096093,2.815652,0.700000,1.000000,0.000000,0.000000,6.108499
0.020000,2.115781,2.812136,0.720000,1.000000,0.000000,0.000000,6.104427
0.020000,2.135455,2.808540,0.740000,1.000000,0.000000,0.000000,6.100412
0.020000,2.155115,2.804866,0.760000,1.000000,0.000000,0.000000,6.096453
0.020000,2.174760,2.801114,0.780000,1.000000,0.000000,0.000000,6.092553
0.020000,2.194390,2.797287,0.800000,1.000000,0.000000,0.000000,6.088709
0.020000,2.214006,2.793385,0.820000,1.000000,0.000000,0.000000,6.084924
0.020000,2.233607,2.789409,0.840000,1.000000,0.000000,0.000000,6.081197
0.020000,2.253193,2.785360,0.860000,1.000000,0.000000,0.000000,6.077528
0.020000,2.272764,2.781241,0.880000,1.000000,0.000000,0.000000,6.073917
0.020000,2.292320,2.777051,0.900000,1.000000,0.000000,0.000000,6.070364
0.020000,2.311861,2.772792,0.920000,1.000000,0.000000,0.000000,6.066871
0.020000,2.331388,2.768466,0.940000,1.000000,0.000000,0.000000,6.063436
0.020000,2.350900,2.764073,0.960000,1.000000,0.000000,0.000000,6.060060
0.020000,2.370396,2.759615,0.980000,1.000000,0.000000,0.000000,6.056743
0.020000,2.389878,2.755093,1.000000,1.000000,0.000000,0.000000,6.053485
0.020000,2.409346,2.750508,1.020000,1.000000,0.000000,0.000000,6.050286
0.020000,2.428798,2.745862,1.040000,1.000000,0.000000,0.000000,6.047146
0.020000,2.448237,2.741155,1.060000,1.000000,0.000000,0.000000,6.044066
0.020000,2.467660,2.736388,1.080000,1.000000,0.000000,0.000000,6.041044
0.020000,2.487070,2.731564,1.100000,1.000000,0.000000,0.000000,6.038082
0.020000,2.506465,2.726682,1.120000,1.000000,0.000000,0.000000,6.035180
0.020000,2.525846,2.721745,1.140000,1.000000,0.000000,0.000000,6.032337
0.020000,2.545213,2.716754,1.160000,1.000000,0.000000,0.000000,6.029553
0.020000,2.564566,2.711709,1.180000,1.000000,0.000000,0.000000,6.026828
0.020000,2.583906,2.706612,1.200000,1.000000,0.000000,0.000000,6.024163
0.020000,2.603232,2.701464,1.220000,1.000000,0.000000,0.000000,6.021557
0.020000,2.622545,2.696266,1.240000,1.000000,0.000000,0.000000,6.019010
0.020000,2.641844,2.691020,1.260000,1.000000,0.000000,0.000000,6.016523
0.020000,2.661131,2.685726,1.280000,1.000000,0.000000,0.000000,6.014095
0.020000,2.680405,2.680386,1.300000,1.000000,0.000000,0.000000,6.011726
0.020000,2.699666,2.675001,1.320000,1.000000,0.000000,0.000000,6.009416
0.020000,2.718915,2.669572,1.340000,1.000000,0.000000,0.000000,6.007165
0.020000,2.738152,2.664100,1.360000,1.000000,0.000000,0.000000,6.004974
0.020000,2.757377,2.658587,1.380000,1.000000,0.000000,0.000000,6.002841
0.020000,2.776591,2.653033,1.400000,1.000000,0.000000,0.000000,6.000767
0.020000,2.795793,2.647440,1.420000,1.000000,0.000000,0.000000,5.998753
0.020000,2.814984,2.641809,1.440000,1.000000,0.000000,0.000000,5.996797
0.020000,2.834164,2.636141,1.460000,1.000000,0.000000,0.000000,5.994899
0.020000,2.853333,2.630437,1.480000,1.000000,0.000000,0.000000,5.993061
0.020000,2.872492,2.624698,1.500000,1.000000,0.000000,0.000000,5.991281
0.020000,2.891641,2.618926,1.520000,1.000000,0.000000,0.000000,5.989560
0.020000,2.910780,2.613122,1.540000,1.000000,0.000000,0.000000,5.987897
0.020000,2.929910,2.607286,1.560000,1.000000,0.000000,0.000000,5.986293
0.020000,2.949030,2.601420,1.580000,1.000000,0.000000,0.000000,5.984747
0.020000,2.968142,2.595525,1.600000,1.000000,0.000000,0.000000,5.983259
0.020000,2.987245,2.589602,1.620000,1.000000,0.000000,0.000000,5.981830
0.020000,3.006339,2.583653,1.640000,1.000000,0.000000,0.000000,5.980459
0.020000,3.025426,2.577678,1.660000,1.000000,0.000000,0.000000,5.979146
0.020000,3.044505,2.571678,1.680000,1.000000,0.000000,0.000000,5.977891
0.020000,3.063576,2.565655,1.700000,1.000000,0.000000,0.000000,5.976694
0.020000,3.082641,2.559610,1.720000,1.000000,0.000000,0.000000,5.975554
